"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2019","4,299,816","55,481,491",""
"BANK OF MONTREAL /CAN/","12/31/2019","1,630,600","21,039,998",""
"VANGUARD GROUP INC","12/31/2019","1,441,248","18,596,748",""
"TD ASSET MANAGEMENT INC","12/31/2019","1,095,335","14,113,482",""
"BANK OF NOVA SCOTIA","12/31/2019","853,151","11,008,686",""
"CIBC World Markets Inc.","12/31/2019","837,382","10,804,933",""
"MACKENZIE FINANCIAL CORP","12/31/2019","802,138","10,343,944",""
"TORONTO DOMINION BANK","12/31/2019","719,028","9,272,473",""
"CIBC Asset Management Inc","12/31/2019","612,086","7,886,320",""
"Beutel, Goodman & Co Ltd.","12/31/2019","511,387","6,598,548",""
"NORGES BANK","12/31/2019","484,328","6,356,788",""
"Capital Research Global Investors","12/31/2019","434,470","5,605,938",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","426,586","5,554,682",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2019","389,070","5,013,175",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2019","264,537","3,413,382",""
"Legal & General Group Plc","12/31/2019","243,246","3,134,408",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","219,333","2,826,117",""
"FRANKLIN RESOURCES INC","12/31/2019","216,822","2,797,059",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","200,275","2,580,549",""
"OMERS ADMINISTRATION Corp","12/31/2019","186,413","2,401,942",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","180,218","2,323,991",""
"1832 Asset Management L.P.","12/31/2019","176,353","2,276,041",""
"SCOTIA CAPITAL INC.","12/31/2019","171,103","2,210,705",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2019","165,667","2,138,399",""
"MUFG Securities EMEA plc","12/31/2019","162,750","2,100,000",""
"JPMORGAN CHASE & CO","12/31/2019","156,173","2,015,150",""
"TORONTO DOMINION BANK","12/31/2019","149,388","1,926,200",""
"FIERA CAPITAL CORP","12/31/2019","144,057","1,857,684",""
"Alberta Investment Management Corp","12/31/2019","126,247","1,626,700",""
"GUARDIAN CAPITAL LP","12/31/2019","118,463","1,526,398",""
"GOLDMAN SACHS GROUP INC","12/31/2019","112,387","1,450,170",""
"Newport Trust Co","12/31/2019","110,730","1,428,777",""
"CREDIT SUISSE AG/","12/31/2019","107,417","1,386,026",""
"ROYAL BANK OF CANADA","12/31/2019","106,935","1,379,800","put"
"FMR LLC","12/31/2019","98,383","1,269,422",""
"SEI INVESTMENTS CO","12/31/2019","98,085","1,265,622",""
"Federation des caisses Desjardins du Quebec","12/31/2019","93,555","1,207,099",""
"Invesco Ltd.","12/31/2019","92,411","1,192,392",""
"Cardinal Capital Management, Inc.","12/31/2019","85,699","1,104,184",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","84,144","1,084,201",""
"BANK OF AMERICA CORP /DE/","12/31/2019","78,070","1,007,374",""
"Bank of New York Mellon Corp","12/31/2019","76,568","987,970",""
"D. E. Shaw & Co., Inc.","12/31/2019","74,793","965,419",""
"DEUTSCHE BANK AG\","12/31/2019","73,883","953,391",""
"MORGAN STANLEY","12/31/2019","72,862","940,145",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","72,971","936,290",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","72,971","936,290",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2019","69,857","901,308",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2019","65,183","838,003",""
"National Pension Service","12/31/2019","83,545","830,138",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2019","57,698","743,445",""
"TORONTO DOMINION BANK","12/31/2019","54,114","697,700",""
"NORTHERN TRUST CORP","12/31/2019","52,799","681,272",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2019","49,544","639,275",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2019","49,506","638,791",""
"Value Partner Investments Inc.","12/31/2019","49,039","632,873",""
"FIL Ltd","12/31/2019","48,897","630,912",""
"FIRST TRUST ADVISORS LP","12/31/2019","48,217","622,153",""
"Allianz Asset Management GmbH","12/31/2019","46,848","603,631",""
"BANK OF AMERICA CORP /DE/","12/31/2019","42,238","545,000","call"
"LINCLUDEN MANAGEMENT LTD","12/31/2019","41,633","537,184",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2019","40,706","525,227",""
"Hexavest Inc.","12/31/2019","40,626","523,462",""
"State of Tennessee, Treasury Department","12/31/2019","48,879","485,683",""
"BANK OF MONTREAL /CAN/","12/31/2019","36,890","476,000","call"
"Polar Asset Management Partners Inc.","12/31/2019","36,812","475,000","call"
"TORONTO DOMINION BANK","12/31/2019","35,922","462,468",""
"Man Group plc","12/31/2019","35,615","458,991",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2019","34,949","450,700",""
