"Manager","Report Date","Value ($000)","Shares","Option Type"
"CITADEL ADVISORS LLC","12/31/2021","4,444","118,404",""
"HRT FINANCIAL LP","12/31/2021","2,213","58,968",""
"F3Logic, LLC","12/31/2021","2,117","56,265",""
"JANE STREET GROUP, LLC","12/31/2021","2,078","55,374",""
"Centric Wealth Management","12/31/2021","882","23,495",""
"JPMORGAN CHASE & CO","12/31/2021","801","21,341",""
"Tower Research Capital LLC (TRC)","12/31/2021","506","13,472",""
"Harvest Investment Services, LLC","12/31/2021","504","13,439",""
"OLD MISSION CAPITAL LLC","12/31/2021","471","12,543",""
"BARCLAYS PLC","12/31/2021","429","11,431",""
"BARCLAYS PLC","12/31/2021","429","11,431",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","378","10,085",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","378","10,085",""
"Creative Planning","12/31/2021","305","8,138",""
"Rinkey Investments","12/31/2021","270","7,270",""
"BANK OF AMERICA CORP /DE/","12/31/2021","1","1,700",""
"WELLS FARGO & COMPANY/MN","12/31/2021","24","650",""
"Spire Wealth Management","12/31/2021","19","500",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","18","485",""
"Bedel Financial Consulting, Inc.","12/31/2021","14","371",""
"HARBOUR INVESTMENTS, INC.","12/31/2021","8","210",""
"CoreCap Advisors, LLC","12/31/2021","3","70",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","0","0",""
