"Manager","Report Date","Value ($000)","Shares","Option Type"
"Investment Research & Advisory Group, Inc.","12/31/2022","16","565",""
"IFP Advisors, Inc","12/31/2022","15","83",""
"PIN OAK INVESTMENT ADVISORS INC","12/31/2022","1","24",""
"Investment Research & Advisory Group, Inc.","12/31/2022","0","15",""
"Heritage Wealth Advisors","12/31/2022","0","11",""
"Hanson & Doremus Investment Management","12/31/2022","0","8",""
"TimeScale Financial, Inc.","12/31/2022","0","2",""
"BARCLAYS PLC","12/31/2022","0","2",""
"Western Pacific Wealth Management, LP","12/31/2022","0","0",""
"Princeton Global Asset Management LLC","12/31/2022","0","0",""
"Mascoma Wealth Management LLC","12/31/2022","0","0",""
"Farther Finance Advisors, LLC","12/31/2022","0","0",""
"Anchor Investment Management, LLC","12/31/2022","0","0",""
"Advisory Services Network, LLC","12/31/2022","0","0",""
