"Manager","Report Date","Value ($000)","Shares","Option Type"
"Partners Value Investments LP","12/31/2018","3,291,927","85,839,025",""
"ROYAL BANK OF CANADA","12/31/2018","2,612,885","68,132,594",""
"BANK OF MONTREAL /CAN/","12/31/2018","1,077,622","28,099,664",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2018","886,112","23,106,009",""
"Vanguard Group Inc","12/31/2018","856,384","22,330,768",""
"FIL Ltd","12/31/2018","743,473","19,399,627",""
"TD ASSET MANAGEMENT INC","12/31/2018","711,227","18,566,391",""
"Beutel, Goodman & Co Ltd.","12/31/2018","587,355","15,321,646",""
"FIRST MANHATTAN CO","12/31/2018","539,252","14,061,332",""
"MACKENZIE FINANCIAL CORP","12/31/2018","470,113","12,258,486",""
"CIBC Asset Management Inc","12/31/2018","455,452","11,880,915",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","455,489","11,877,150",""
"1832 Asset Management L.P.","12/31/2018","451,111","11,759,100",""
"FRANKLIN RESOURCES INC","12/31/2018","446,370","11,662,789",""
"Jarislowsky, Fraser Ltd","12/31/2018","401,395","10,478,325",""
"OMERS ADMINISTRATION Corp","12/31/2018","386,836","10,087,069",""
"Mawer Investment Management Ltd.","12/31/2018","358,621","9,301,933",""
"TORONTO DOMINION BANK","12/31/2018","354,591","9,240,962",""
"Capital World Investors","12/31/2018","341,699","8,910,015",""
"CI INVESTMENTS INC.","12/31/2018","339,616","8,855,710",""
"NORGES BANK","12/31/2018","335,315","8,748,969",""
"CIBC World Markets Inc.","12/31/2018","331,520","8,644,599",""
"Neuberger Berman Group LLC","12/31/2018","330,505","8,618,131",""
"Invesco Ltd.","12/31/2018","321,467","8,382,452",""
"SQ Advisors, LLC","12/31/2018","321,279","8,379,455",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2018","306,347","7,997,100",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","286,998","7,489,958",""
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","12/31/2018","265,779","6,930,349",""
"DAVENPORT & Co LLC","12/31/2018","239,123","6,235,270",""
"BANK OF NOVA SCOTIA","12/31/2018","237,711","6,198,458",""
"MARKEL CORP","12/31/2018","217,603","5,674,141",""
"Broad Run Investment Management, LLC","12/31/2018","212,320","5,536,365",""
"APG Asset Management N.V.","12/31/2018","176,372","5,263,191",""
"APG Asset Management N.V.","12/31/2018","176,372","5,263,191",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2018","155,119","4,049,689",""
"Fiera Capital Corp","12/31/2018","149,922","3,903,933",""
"GUARDIAN CAPITAL LP","12/31/2018","140,413","3,665,457",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","137,294","3,584,029",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2018","120,340","3,162,009",""
"MARATHON ASSET MANAGEMENT LLP","12/31/2018","114,519","2,989,262",""
"Legal & General Group Plc","12/31/2018","111,969","2,922,962",""
"Burgundy Asset Management Ltd.","12/31/2018","110,695","2,886,275",""
"THIRD AVENUE MANAGEMENT LLC","12/31/2018","104,079","2,713,901",""
"Federation des caisses Desjardins du Quebec","12/31/2018","92,065","2,405,849",""
"COOKE & BIELER LP","12/31/2018","90,934","2,371,141",""
"MADISON INVESTMENT HOLDINGS INC","12/31/2018","90,868","2,369,446",""
"CHECK CAPITAL MANAGEMENT INC/CA","12/31/2018","88,452","2,306,435",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2018","81,943","2,139,088",""
"SCOTIA CAPITAL INC.","12/31/2018","80,645","2,108,274",""
"FENIMORE ASSET MANAGEMENT INC","12/31/2018","78,357","2,043,203",""
