"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"MSFT","MICROSOFT CORP","COM","594918104","2,901,500","5.3%","6,834,135","",""
"AAPL","Apple Inc","COM","037833100","2,679,130","4.9%","11,038,856","",""
"AMZN","Amazon.com Inc","COM","023135106","2,375,786","4.3%","10,695,476","",""
"NVDA","NVIDIA Corp","COM","67066G104","1,887,312","3.4%","13,470,218","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","1,576,887","2.9%","8,130,382","",""
"ODFL","Old Dominion Freight Line Inc","COM","679580100","1,559,874","2.8%","8,686,237","",""
"V","VISA INC","COM CL A","92826C839","987,752","1.8%","3,159,796","",""
"BX","Blackstone Inc","COM","09260D107","841,588","1.5%","4,837,549","",""
"GOOG","Alphabet Inc","CAP STK CL C","02079K107","834,575","1.5%","4,271,333","",""
"JPM","JPMorgan Chase & Co","COM","46625H100","788,419","1.4%","3,242,788","",""
"UNH","UnitedHealth Group Inc","COM","91324P102","754,646","1.4%","1,438,738","",""
"FTAI","FTAI Aviation Ltd","SHS","G3730V105","628,636","1.1%","3,724,591","",""
"CRM","Salesforce Inc","COM","79466L302","609,876","1.1%","1,865,635","",""
"META","Meta Platforms Inc","CL A","30303M102","604,506","1.1%","989,825","",""
"AZN","AstraZeneca PLC","SPONSORED ADR","046353108","539,697","1.0%","8,105,996","",""
"ABT","Abbott Laboratories","COM","002824100","533,268","1.0%","4,667,557","",""
"CSCO","CISCO SYSTEMS","COM","17275R102","500,387","0.9%","8,452,485","",""
"LLY","Eli Lilly & Co","COM","532457108","494,951","0.9%","628,733","",""
"HD","Home Depot Inc/The","COM","437076102","473,484","0.9%","1,222,842","",""
"NEE","NEXTERA ENERGY","COM","65339F101","468,227","0.8%","6,626,486","",""
"SPGI","S&P Global Inc","COM","78409V104","458,891","0.8%","925,446","",""
"ATMP","BARCLAYS BK PLC","IPATH SELCT MLP","06742C723","445,133","0.8%","15,099,522","",""
"XOM","Exxon Mobil Corp","COM","30231G102","440,853","0.8%","4,122,822","",""
"QCOM","QUALCOMM Inc","COM","747525103","431,038","0.8%","2,709,569","",""
"FISV","FISERV INC","COM","337738108","425,967","0.8%","2,075,563","",""
"VOO","VANGUARD","S&P 500 ETF SHS","922908363","401,244","0.7%","740,112","",""
"CME","CME Group Inc","COM","12572Q105","394,876","0.7%","1,722,095","",""
"IWF","ISHARES/USA","RUS 1000 GRW ETF","464287614","382,882","0.7%","946,838","",""
"ADBE","Adobe Inc","COM","00724F101","377,745","0.7%","900,294","",""
"DHR","Danaher Corp","COM","235851102","375,009","0.7%","1,575,076","",""
"RTX","RTX Corp","COM","75513E101","374,950","0.7%","3,234,563","",""
"TJX","TJX Cos Inc/The","COM","872540109","369,310","0.7%","3,035,844","",""
"UNP","Union Pacific Corp","COM","907818108","363,478","0.7%","1,567,936","",""
"ICE","INTERCONTINENTAL EXCHANGE","COM","45866F104","352,588","0.6%","2,405,596","",""
"DIS","Walt Disney Co/The","COM","254687106","351,767","0.6%","3,204,881","",""
"MA","MASTERCARD INC","CL A","57636Q104","348,520","0.6%","674,905","",""
"LIN","Linde PLC","SHS","G54950103","345,760","0.6%","823,220","",""
"VO","Vanguard ETF/USA","MID CAP ETF","922908629","339,960","0.6%","1,276,174","",""
