"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2021","4,282,346","36,739,426",""
"BANK OF MONTREAL /CAN/","12/31/2021","2,048,909","17,537,662",""
"VANGUARD GROUP INC","12/31/2021","1,670,321","14,330,138",""
"BANK OF NOVA SCOTIA","12/31/2021","1,430,313","12,249,748",""
"TD ASSET MANAGEMENT INC","12/31/2021","1,287,401","11,028,696",""
"TORONTO DOMINION BANK","12/31/2021","1,156,890","9,925,123",""
"FIL Ltd","12/31/2021","1,108,608","9,510,565",""
"CIBC World Markets Inc.","12/31/2021","761,412","6,532,361",""
"CIBC Asset Management Inc","12/31/2021","720,043","6,181,400",""
"1832 Asset Management L.P.","12/31/2021","595,146","5,100,959",""
"MACKENZIE FINANCIAL CORP","12/31/2021","592,648","5,084,032",""
"NORGES BANK","12/31/2021","478,882","4,105,304",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","330,629","2,834,245",""
"DEUTSCHE BANK AG\","12/31/2021","306,043","2,625,626",""
"Legal & General Group Plc","12/31/2021","294,898","2,526,231",""
"ROYAL BANK OF CANADA","12/31/2021","291,529","2,501,100","put"
"BANK OF AMERICA CORP /DE/","12/31/2021","284,397","2,439,922",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2021","273,973","2,348,572",""
"Alberta Investment Management Corp","12/31/2021","245,936","2,106,843",""
"JPMORGAN CHASE & CO","12/31/2021","236,009","2,024,777",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","221,485","1,913,506",""
"SCOTIA CAPITAL INC.","12/31/2021","213,337","1,832,091",""
"TD Waterhouse Canada Inc.","12/31/2021","252,718","1,695,196",""
"GOLDMAN SACHS GROUP INC","12/31/2021","172,553","1,480,375",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2021","159,115","1,363,720",""
"FEDERATED HERMES, INC.","12/31/2021","151,421","1,299,079",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","144,414","1,240,099",""
"OMERS ADMINISTRATION Corp","12/31/2021","142,803","1,223,340",""
"GUARDIAN CAPITAL LP","12/31/2021","133,648","1,144,915",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2021","132,227","1,132,740",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2021","130,337","1,118,096",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2021","128,734","1,104,453",""
"Cardinal Capital Management, Inc.","12/31/2021","126,110","1,082,623",""
"FRANKLIN RESOURCES INC","12/31/2021","122,188","1,047,443",""
"BANK OF NOVA SCOTIA","12/31/2021","116,560","1,000,000","put"
"CREDIT SUISSE AG/","12/31/2021","112,342","963,811",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2021","139,720","948,860",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","108,390","930,963",""
"Federation des caisses Desjardins du Quebec","12/31/2021","91,130","783,151",""
"Invesco Ltd.","12/31/2021","90,445","775,951",""
"MORGAN STANLEY","12/31/2021","83,380","715,342",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2021","76,927","659,007",""
"AMUNDI","12/31/2021","84,234","644,088",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2021","72,093","618,000",""
"FIRST TRUST ADVISORS LP","12/31/2021","68,877","590,903",""
"Bank of New York Mellon Corp","12/31/2021","67,886","582,417",""
"Galibier Capital Management Ltd.","12/31/2021","67,545","578,638",""
"Value Partners Investments Inc.","12/31/2021","64,893","557,965",""
"CIDEL ASSET MANAGEMENT INC","12/31/2021","63,968","547,995",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2021","63,082","540,586",""
"LINCLUDEN MANAGEMENT LTD","12/31/2021","62,854","539,211",""
"D. E. Shaw & Co., Inc.","12/31/2021","62,242","533,654",""
"FMR LLC","12/31/2021","60,787","521,488",""
"Triasima Portfolio Management inc.","12/31/2021","57,609","495,335",""
"ROYAL BANK OF CANADA","12/31/2021","52,429","449,800","call"
"Russell Investments Group, Ltd.","12/31/2021","52,129","446,596",""
"Man Group plc","12/31/2021","50,077","429,015",""
"SIG North Trading, ULC","12/31/2021","47,436","406,300","put"
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2021","45,244","389,192",""
"HSBC HOLDINGS PLC","12/31/2021","41,607","356,910",""
"RAYMOND JAMES & ASSOCIATES","12/31/2021","38,910","333,382",""
"WELLS FARGO & COMPANY/MN","12/31/2021","37,366","320,568",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2021","35,510","304,200",""
"BANK OF AMERICA CORP /DE/","12/31/2021","34,968","300,000","call"
"BANK OF MONTREAL /CAN/","12/31/2021","35,049","300,000","put"
"Skandinaviska Enskilda Banken AB (publ)","12/31/2021","26,611","293,961",""
"BlackRock Inc.","12/31/2021","33,776","289,774",""
"AXA S.A.","12/31/2021","32,693","280,474",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2021","31,946","274,075",""
"Evoke Wealth, LLC","12/31/2021","31,506","270,300",""
"Parametric Portfolio Associates LLC","12/31/2021","31,295","268,487",""
"UBS Group AG","12/31/2021","29,140","250,000","call"
"Unigestion Holding SA","12/31/2021","28,988","248,494",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2021","28,426","243,763",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2021","29,768","233,432",""
"AMF Tjanstepension AB","12/31/2021","26,662","228,406",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","26,449","226,827",""
"Hillsdale Investment Management Inc.","12/31/2021","25,467","218,192",""
"TORONTO DOMINION BANK","12/31/2021","25,202","216,202",""
"NORTHERN TRUST CORP","12/31/2021","24,832","213,042",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2021","24,101","207,230",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2021","23,314","200,018",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2021","22,620","193,908",""
"FORSTA AP-FONDEN","12/31/2021","22,623","193,800",""
"CITADEL ADVISORS LLC","12/31/2021","22,461","192,700","put"
"CITIGROUP INC","12/31/2021","22,040","188,795",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2021","21,278","182,288",""
"PICTET ASSET MANAGEMENT SA","12/31/2021","20,135","172,494",""
"TRUIST FINANCIAL CORP","12/31/2021","19,868","170,456",""
"NATIXIS","12/31/2021","19,861","170,113",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","25,067","170,000","put"
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2021","19,497","167,100",""
"Korea Investment CORP","12/31/2021","19,342","165,700",""
"Northwest & Ethical Investments L.P.","12/31/2021","18,952","162,588",""
"SIG North Trading, ULC","12/31/2021","18,427","158,657",""
"HAP Trading, LLC","12/31/2021","383","152,200","put"
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2021","17,489","152,140",""
"D. E. Shaw & Co., Inc.","12/31/2021","17,495","150,000","call"
"JANE STREET GROUP, LLC","12/31/2021","17,348","148,835",""
"AVIVA PLC","12/31/2021","17,271","148,239",""
"Neuberger Berman Group LLC","12/31/2021","16,141","136,556",""
"Schonfeld Strategic Advisors LLC","12/31/2021","15,760","135,200",""
"LPL Financial LLC","12/31/2021","15,691","134,615",""
"DekaBank Deutsche Girozentrale","12/31/2021","15,163","131,586",""
"NN Investment Partners Holdings N.V.","12/31/2021","15,081","129,381",""
"Crossmark Global Holdings, Inc.","12/31/2021","13,616","116,814",""
"Walleye Trading LLC","12/31/2021","13,334","114,400","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","12,927","110,900","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","12,927","110,900","put"
"KEMPEN CAPITAL MANAGEMENT N.V.","12/31/2021","16,056","108,894",""
"UBS Group AG","12/31/2021","12,534","107,531",""
"AlphaCrest Capital Management LLC","12/31/2021","11,960","102,604",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2021","11,760","101,357",""
"Parallax Volatility Advisers, L.P.","12/31/2021","11,656","100,000","put"
"USS Investment Management Ltd","12/31/2021","11,531","98,908",""
"Artemis Investment Management LLP","12/31/2021","11,330","97,238",""
"Voya Investment Management LLC","12/31/2021","11,243","96,316",""
"Public Sector Pension Investment Board","12/31/2021","10,674","91,440",""
"AMERIPRISE FINANCIAL INC","12/31/2021","9,327","90,056",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2021","13,029","88,368",""
"JANUS HENDERSON GROUP PLC","12/31/2021","9,891","84,779",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2021","8,994","77,164",""
"Investment Management Corp of Ontario","12/31/2021","8,728","74,880",""
"TORONTO DOMINION BANK","12/31/2021","10,911","74,000",""
"Qube Research & Technologies Ltd","12/31/2021","8,138","69,821",""
"HAP Trading, LLC","12/31/2021","8,020","68,810",""
"ClariVest Asset Management LLC","12/31/2021","7,941","68,033",""
"APG Asset Management N.V.","12/31/2021","6,646","64,747",""
"STIFEL FINANCIAL CORP","12/31/2021","7,469","64,080",""
"Rathbones Group PLC","12/31/2021","7,231","61,945",""
"Addenda Capital Inc.","12/31/2021","8,711","58,440",""
"K.J. Harrison & Partners Inc","12/31/2021","6,775","58,161",""
"CLARET ASSET MANAGEMENT Corp","12/31/2021","6,061","51,951",""
"Lipe & Dalton","12/31/2021","5,840","50,100",""
"BARCLAYS PLC","12/31/2021","5,837","50,067",""
"BARCLAYS PLC","12/31/2021","5,837","50,067",""
"HSBC HOLDINGS PLC","12/31/2021","7,358","50,000","call"
"LSV ASSET MANAGEMENT","12/31/2021","5,711","49,000",""
"SILVERCREST ASSET MANAGEMENT GROUP LLC","12/31/2021","5,617","48,194",""
"WOLVERINE TRADING, LLC","12/31/2021","5,427","46,900","put"
"FIERA CAPITAL CORP","12/31/2021","5,454","46,784",""
"Achmea Investment Management B.V.","12/31/2021","5,348","45,822",""
"CIBC Private Wealth Group, LLC","12/31/2021","4,970","42,641",""
"Janney Montgomery Scott LLC","12/31/2021","4,966","42,604",""
"Te Ahumairangi Investment Management Ltd","12/31/2021","4,971","42,583",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","4,884","41,900","call"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","4,884","41,900","call"
"Walleye Trading LLC","12/31/2021","4,721","40,500","call"
"Lorne Steinberg Wealth Management Inc.","12/31/2021","4,609","39,625",""
"Parallax Volatility Advisers, L.P.","12/31/2021","4,546","38,999",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2021","7,306","38,894",""
"BANQUE PICTET & CIE SA","12/31/2021","4,536","38,855",""
"NEW YORK STATE COMMON RETIREMENT FUND","12/31/2021","4,387","37,638",""
"WESTPAC BANKING CORP","12/31/2021","5,332","36,164",""
"MARSHALL WACE, LLP","12/31/2021","3,880","33,255",""
"Nexus Investment Management ULC","12/31/2021","3,871","33,233",""
"CITADEL ADVISORS LLC","12/31/2021","3,849","33,020",""
"ALLIANCEBERNSTEIN L.P.","12/31/2021","3,842","32,958",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","3,640","31,183",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2021","3,501","30,038",""
"DEAN INVESTMENT ASSOCIATES, LLC","12/31/2021","3,465","29,727",""
"AMERICAN CENTURY COMPANIES INC","12/31/2021","3,462","29,698",""
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2021","3,113","26,897",""
"Pendal Group Ltd","12/31/2021","2,871","24,612",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2021","2,786","23,900",""
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC","12/31/2021","2,751","23,600",""
"CITADEL ADVISORS LLC","12/31/2021","2,739","23,500","call"
"EATON VANCE MANAGEMENT","12/31/2021","2,700","23,164",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2021","2,655","22,784",""
"PRUDENTIAL FINANCIAL INC","12/31/2021","2,669","22,696",""
"AE Wealth Management LLC","12/31/2021","2,579","22,127",""
"Allianz Asset Management GmbH","12/31/2021","2,515","21,548",""
"Varma Mutual Pension Insurance Co","12/31/2021","2,510","21,507",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2021","2,395","20,555",""
"Ensign Peak Advisors, Inc","12/31/2021","2,375","20,350",""
"SIG North Trading, ULC","12/31/2021","2,370","20,300","call"
"COMERICA BANK","12/31/2021","2,560","20,252",""
"Assenagon Asset Management S.A.","12/31/2021","2,314","19,827",""
"SHUFRO ROSE & CO LLC","12/31/2021","2,301","19,740",""
"First Bank & Trust","12/31/2021","2,225","19,088",""
"MML INVESTORS SERVICES, LLC","12/31/2021","2,173","18,644",""
"Jarislowsky, Fraser Ltd","12/31/2021","2,147","18,621",""
"NATIXIS ADVISORS, L.P.","12/31/2021","2,064","17,707",""
"Zions Bancorporation, N.A.","12/31/2021","2,036","17,468",""
"Livingston Group Asset Management CO (operating as Southport Capital Management)","12/31/2021","1,954","16,764",""
"STEPHENS INC /AR/","12/31/2021","1,913","16,416",""
"GUGGENHEIM CAPITAL LLC","12/31/2021","1,911","16,396",""
"PEAK6 Investments LLC","12/31/2021","1,900","16,300","call"
"Quantbot Technologies LP","12/31/2021","1,859","15,955",""
"Walleye Trading LLC","12/31/2021","1,857","15,928",""
"HighTower Advisors, LLC","12/31/2021","1,843","15,779",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2021","1,765","15,174",""
"Fulton Bank, N.A.","12/31/2021","1,733","14,871",""
"LOGAN CAPITAL MANAGEMENT INC","12/31/2021","1,708","14,650",""
"AGF INVESTMENTS INC.","12/31/2021","1,657","14,218",""
"Campbell & CO Investment Adviser LLC","12/31/2021","1,645","14,113",""
"DAVENPORT & Co LLC","12/31/2021","1,632","14,002",""
"PARK CIRCLE Co","12/31/2021","1,632","14,000",""
"STATE STREET CORP","12/31/2021","1,623","13,777",""
"Advisory Services Network, LLC","12/31/2021","1,592","13,657",""
"PNC Financial Services Group, Inc.","12/31/2021","1,535","13,170",""
"Octavia Wealth Advisors, LLC","12/31/2021","1,548","13,139",""
"BREWIN DOLPHIN LTD","12/31/2021","1,512","12,973",""
"PNC Financial Services Group, Inc.","12/31/2021","1,398","11,994",""
"Sabadell Asset Management, S.A S.G.I.I.C","12/31/2021","1,517","11,600",""
"Investors Research Corp","12/31/2021","1,288","11,050",""
