"Manager","Report Date","Value ($000)","Shares","Option Type"
"Mraz, Amerine & Associates, Inc.","12/31/2024","41,847","30,076",""
"Elgethun Capital Management","12/31/2024","32,523","23,402",""
"Poehling Capital Management, INC.","12/31/2024","25,131","18,062",""
"Mn Services Vermogensbeheer B.V.","12/31/2024","11,542","8,300",""
"Heritage Wealth Advisors","12/31/2024","3,732","2,684",""
"Front Street Capital Management, Inc.","12/31/2024","1,425","1,025",""
"KAHN BROTHERS GROUP INC","12/31/2024","1,416","1,018",""
"ATLAS CAPITAL ADVISORS INC.","12/31/2024","767","552",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2024","404","291",""
"LOUNTZIS ASSET MANAGEMENT, LLC","12/31/2024","403","290",""
"Williams Jones Wealth Management, LLC.","12/31/2024","277","200",""
"Boit C F David","12/31/2024","138","100",""
"GAMMA Investing LLC","12/31/2024","116","84",""
"Coston, McIsaac & Partners","12/31/2024","55","40",""
"PNC Financial Services Group, Inc.","12/31/2024","36","26",""
"RHUMBLINE ADVISERS","12/31/2024","11","8",""
"FSA Wealth Management LLC","12/31/2024","2","2",""
"THURSTON, SPRINGER, MILLER, HERD & TITAK, INC.","12/31/2024","2","2",""
