"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","3,288,301","148,791,924",""
"VANGUARD GROUP INC","12/31/2023","1,581,508","71,561,487",""
"BANK OF MONTREAL /CAN/","12/31/2023","1,482,415","67,025,596",""
"TD Asset Management Inc","12/31/2023","823,073","37,066,418",""
"MACKENZIE FINANCIAL CORP","12/31/2023","610,281","27,604,379",""
"CIBC WORLD MARKET INC.","12/31/2023","602,448","27,260,089",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","547,378","25,083,275",""
"Beutel, Goodman & Co Ltd.","12/31/2023","549,482","24,745,499",""
"NORGES BANK","12/31/2023","473,567","21,430,069",""
"BANK OF NOVA SCOTIA","12/31/2023","469,191","21,232,150",""
"JARISLOWSKY, FRASER Ltd","12/31/2023","459,997","20,715,602",""
"CIBC Asset Management Inc","12/31/2023","459,108","20,710,186",""
"SCOTIA CAPITAL INC.","12/31/2023","283,276","12,840,402",""
"Legal & General Group Plc","12/31/2023","260,786","11,744,710",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2023","259,189","11,672,374",""
"TORONTO DOMINION BANK","12/31/2023","243,428","11,014,870",""
"WELLS FARGO & COMPANY/MN","12/31/2023","228,067","10,319,798",""
"HARDING LOEVNER LP","12/31/2023","223,706","10,120,232",""
"FIL Ltd","12/31/2023","218,990","9,910,281",""
"JPMORGAN CHASE & CO","12/31/2023","210,996","9,547,365",""
"JPMORGAN CHASE & CO","12/31/2023","210,996","9,547,365",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","210,026","9,503,480",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2023","203,241","9,196,444",""
"1832 Asset Management L.P.","12/31/2023","159,787","7,230,181",""
"TD Waterhouse Canada Inc.","12/31/2023","203,678","7,115,381",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","157,181","7,064,579",""
"AMUNDI","12/31/2023","202,356","6,914,634",""
"Allianz Asset Management GmbH","12/31/2023","145,227","6,540,241",""
"GOLDMAN SACHS GROUP INC","12/31/2023","136,681","6,184,670",""
"GOLDMAN SACHS GROUP INC","12/31/2023","136,681","6,184,670",""
"Capital World Investors","12/31/2023","136,401","6,172,766",""
"Federation des caisses Desjardins du Quebec","12/31/2023","136,477","6,092,809",""
"Swiss National Bank","12/31/2023","130,832","5,909,800",""
"CIBC WORLD MARKET INC.","12/31/2023","128,622","5,820,000","put"
"AustralianSuper Pty Ltd","12/31/2023","128,018","5,793,161",""
"AMUNDI","12/31/2023","120,049","5,573,321",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","121,926","5,499,582",""
"Cardinal Capital Management, Inc.","12/31/2023","116,789","5,268,488",""
"Royal Bank of Canada","12/31/2023","115,813","5,240,400","put"
"MORGAN STANLEY","12/31/2023","115,384","5,221,037",""
"MORGAN STANLEY","12/31/2023","115,384","5,221,037",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","108,081","4,867,350",""
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2023","105,883","4,791,786",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2023","78,512","4,692,281",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2023","101,361","4,574,027",""
