Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
XOM,EXXON MOBIL CORP,COM,30231G102,"221,610",1.9%,"2,060,151",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"109,780",1.0%,"1,531,329",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"100,630",0.9%,"2,372,192",,
HES,HESS CORP,COM,42809H107,"97,236",0.9%,"731,050",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"96,235",0.8%,"3,118,654",,
SQ,BLOCK INC,CL A,852234103,"17,608",0.2%,"207,188",,
CVX,CHEVRON CORP NEW,COM,166764100,"12,137",0.1%,"83,799",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"12,044",0.1%,"128,077",,
CMS,CMS ENERGY CORP,COM,125896100,"10,979",0.1%,"164,728",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"8,722",0.1%,"141,600",,
PGR,PROGRESSIVE CORP,COM,743315103,"8,668",0.1%,"36,178",,
COP,CONOCOPHILLIPS,COM,20825C104,"7,098",0.1%,"71,584",,
EOG,EOG RES INC,COM,26875P101,"4,152",0.0%,"33,876",,
SO,SOUTHERN CO,COM,842587107,"3,758",0.0%,"45,661",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"3,468",0.0%,"32,194",,
VST,VISTRA CORP,COM,92840M102,"3,344",0.0%,"24,259",,
WMB,WILLIAMS COS INC,COM,969457100,"2,837",0.0%,"52,426",,
CSX,CSX CORP,COM,126408103,"2,664",0.0%,"82,555",,
ECL,ECOLAB INC,COM,278865100,"2,513",0.0%,"10,726",,
OKE,ONEOK INC NEW,COM,682680103,"2,449",0.0%,"24,394",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"2,294",0.0%,"59,839",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"2,292",0.0%,"83,683",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"2,211",0.0%,"13,501",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"2,144",0.0%,"9,982",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"2,026",0.0%,"21,974",,
OVV.TO,OVINTIV INC,COM,69047Q102,"1,897",0.0%,"46,857",,
AES,AES CORP,COM,00130H105,"1,801",0.0%,"139,971",,
STX,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,"1,779",0.0%,"20,618",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"1,646",0.0%,"5,656",,
XEL,XCEL ENERGY INC,COM,98389B100,"1,564",0.0%,"23,173",,
SDIG,STRONGHOLD DIGITAL MINING IN,CLASS A COM,86337R202,"1,555",0.0%,"444,400",,
OXY,OCCIDENTAL PETE CORP,COM,674599105,"1,365",0.0%,"27,630",,
APA,APA CORPORATION,COM,03743Q108,"1,246",0.0%,"53,980",,
CR,CRANE NXT CO,COM,224441105,"1,205",0.0%,"20,700",,
DTE,DTE ENERGY CO,COM,233331107,"1,041",0.0%,"8,622",,
AEE,AMEREN CORP,COM,023608102,981,0.0%,"11,011",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,936,0.0%,"61,806",,
FE,FIRSTENERGY CORP,COM,337932107,905,0.0%,"22,775",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,875,0.0%,"26,749",,
NRG,NRG ENERGY INC,COM NEW,629377508,838,0.0%,"9,292",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,837,0.0%,"26,379",,
EQT,EQT CORP,COM,26884L109,817,0.0%,"17,733",,
TER,TERADYNE INC,COM,880770102,807,0.0%,"6,414",,
CTRA,COTERRA ENERGY INC,COM,127097103,806,0.0%,"31,591",,
EL,LAUDER ESTEE COS INC,CL A,518439104,726,0.0%,"9,695",,
PPC,PILGRIMS PRIDE CORP,COM,72147K108,639,0.0%,"14,100",,
LNT,ALLIANT ENERGY CORP,COM,018802108,630,0.0%,"10,668",,
PKI,REVVITY INC,COM,714046109,575,0.0%,"5,157",,
CHK,EXPAND ENERGY CORPORATION,COM,165167735,528,0.0%,"5,304",,
HRL,HORMEL FOODS CORP,COM,440452100,395,0.0%,"12,593",,
SMC,SUMMIT MIDSTREAM CORPORATION,COM,86614G101,381,0.0%,"10,100",,
NEXT,NEXTDECADE CORP,COM,65342K105,201,0.0%,"26,100",,
