Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
PXD,PIONEER NAT RES CO,COM,723787107,"2,764",0.6%,"14,535",,
STX,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,"2,493",0.6%,"21,769",,
TER,TERADYNE INC,COM,880770102,"2,294",0.5%,"13,799",,
EL,LAUDER ESTEE COS INC,CL A,518439104,"2,156",0.5%,"5,817",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"2,022",0.5%,"17,715",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"1,727",0.4%,"5,514",,
EOG,EOG RES INC,COM,26875P101,"1,338",0.3%,"14,245",,
HRL,HORMEL FOODS CORP,COM,440452100,"1,226",0.3%,"24,742",,
PGR,PROGRESSIVE CORP,COM,743315103,"1,109",0.3%,"10,872",,
PKI,PERKINELMER INC,COM,714046109,"1,048",0.2%,"5,619",,
ECL,ECOLAB INC,COM,278865100,458,0.1%,"1,960",,
