"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2019","5,849,734","73,860,287",""
"BANK OF MONTREAL /CAN/","12/31/2019","4,957,083","62,589,413",""
"VANGUARD GROUP INC","12/31/2019","3,326,391","41,999,906",""
"TD ASSET MANAGEMENT INC","12/31/2019","2,395,446","30,231,473",""
"BANK OF NOVA SCOTIA","12/31/2019","1,821,581","23,021,812",""
"FIL Ltd","12/31/2019","1,714,211","21,664,122",""
"CIBC World Markets Inc.","12/31/2019","1,568,172","19,800,150",""
"MACKENZIE FINANCIAL CORP","12/31/2019","1,517,657","19,169,005",""
"Beutel, Goodman & Co Ltd.","12/31/2019","1,422,937","17,966,380",""
"TORONTO DOMINION BANK","12/31/2019","1,216,299","15,363,089",""
"NORGES BANK","12/31/2019","1,139,481","14,421,374",""
"1832 Asset Management L.P.","12/31/2019","1,082,273","13,632,406",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","1,076,002","13,579,621",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2019","1,005,353","12,688,000",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","966,864","12,329,661",""
"CIBC Asset Management Inc","12/31/2019","963,440","12,158,313",""
"Jarislowsky, Fraser Ltd","12/31/2019","924,572","11,668,508",""
"Capital Research Global Investors","12/31/2019","888,635","11,230,541",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","812,001","10,247,801",""
"BANK OF AMERICA CORP /DE/","12/31/2019","694,609","8,770,323",""
"Legal & General Group Plc","12/31/2019","527,078","6,652,327",""
"SCOTIA CAPITAL INC.","12/31/2019","522,579","6,610,430",""
"GOLDMAN SACHS GROUP INC","12/31/2019","468,446","5,914,732",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2019","467,895","5,905,043",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","406,313","5,131,995",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2019","402,514","5,079,900",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2019","384,569","4,853,429",""
"JPMORGAN CHASE & CO","12/31/2019","361,397","4,563,078",""
"FRANKLIN RESOURCES INC","12/31/2019","357,895","4,522,073",""
"ROYAL BANK OF CANADA","12/31/2019","342,873","4,329,200","call"
"GUARDIAN CAPITAL LP","12/31/2019","313,089","3,951,322",""
"FIERA CAPITAL CORP","12/31/2019","304,726","3,848,889",""
"Alberta Investment Management Corp","12/31/2019","302,873","3,822,387",""
"Federation des caisses Desjardins du Quebec","12/31/2019","300,203","3,792,351",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","276,339","3,493,841",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2019","270,453","3,417,755",""
"FMR LLC","12/31/2019","268,689","3,395,675",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2019","259,909","3,281,671",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2019","223,373","2,819,063",""
"OMERS ADMINISTRATION Corp","12/31/2019","221,356","2,793,610",""
"DEUTSCHE BANK AG\","12/31/2019","190,751","2,408,512",""
"Invesco Ltd.","12/31/2019","175,464","2,215,447",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","164,487","2,068,187",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","164,487","2,068,187",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","158,305","1,997,877",""
"MORGAN STANLEY","12/31/2019","153,491","1,938,012",""
