"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2022","5,119,418","104,520,587",""
"BANK OF MONTREAL /CAN/","12/31/2022","2,949,015","58,588,696",""
"VANGUARD GROUP INC","12/31/2022","2,142,004","43,732,231",""
"TORONTO DOMINION BANK","12/31/2022","1,181,879","24,041,781",""
"CIBC WORLD MARKET INC.","12/31/2022","1,166,262","23,820,716",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","1,118,692","22,840,226",""
"TD Asset Management Inc","12/31/2022","965,788","19,725,582",""
"MACKENZIE FINANCIAL CORP","12/31/2022","809,940","16,557,752",""
"1832 Asset Management L.P.","12/31/2022","792,503","16,180,141",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2022","769,220","15,710,820",""
"JARISLOWSKY, FRASER Ltd","12/31/2022","674,453","13,775,260",""
"SCOTIA CAPITAL INC.","12/31/2022","620,275","12,676,606",""
"NORGES BANK","12/31/2022","588,957","12,020,177",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","457,661","9,350,500",""
"Royal Bank of Canada","12/31/2022","416,110","8,495,500","put"
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2022","411,124","8,390,755",""
"CIBC Asset Management Inc","12/31/2022","402,500","8,213,436",""
"Legal & General Group Plc","12/31/2022","325,147","6,641,052",""
"BANK OF AMERICA CORP /DE/","12/31/2022","258,261","5,272,802",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2022","257,596","5,259,169",""
"JPMORGAN CHASE & CO","12/31/2022","256,435","5,235,498",""
"Federation des caisses Desjardins du Quebec","12/31/2022","227,236","4,600,673",""
"Invesco Ltd.","12/31/2022","221,383","4,519,879",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2022","205,583","4,198,896",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2022","191,418","3,881,284",""
"MORGAN STANLEY","12/31/2022","188,920","3,857,101",""
"FIL Ltd","12/31/2022","185,672","3,789,587",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2022","172,948","3,532,038",""
"Beutel, Goodman & Co Ltd.","12/31/2022","168,114","3,433,624",""
"FRANKLIN RESOURCES INC","12/31/2022","166,965","3,407,641",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2022","161,592","3,299,974",""
"BANK OF MONTREAL /CAN/","12/31/2022","161,069","3,200,000","put"
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2022","148,359","3,023,965",""
"Alberta Investment Management Corp","12/31/2022","134,281","2,742,603",""
"AMUNDI","12/31/2022","164,572","2,480,001",""
"Royal Bank of Canada","12/31/2022","113,830","2,324,000","call"
"CREDIT SUISSE AG/","12/31/2022","111,742","2,281,386",""
"GOLDMAN SACHS GROUP INC","12/31/2022","103,720","2,117,612",""
"GOLDMAN SACHS GROUP INC","12/31/2022","97,960","2,000,000","call"
"Cardinal Capital Management, Inc.","12/31/2022","69,331","1,916,227",""
"FMR LLC","12/31/2022","87,814","1,792,303",""
"AMUNDI","12/31/2022","88,679","1,758,122",""
