"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"BNS.TO","BANK N S HALIFAX","COM","064149107","458,543","6.8%","9,210,601","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","441,459","6.5%","6,459,237","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","404,769","6.0%","8,147,287","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","256,929","3.8%","8,279,307","",""
"BCE.TO","BCE INC","COM NEW","05534B760","201,250","3.0%","5,096,399","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","163,126","2.4%","2,208,620","",""
"TRP","TRANSCANADA CORP","COM","89353D107","155,860","2.3%","4,371,174","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","146,946","2.2%","10,352,956","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","141,095","2.1%","2,161,069","",""
"AAPL","APPLE INC","COM","037833100","134,944","2.0%","855,612","",""
"FTS.TO","FORTIS INC","COM","349553107","133,782","2.0%","4,019,634","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","118,626","1.8%","919,401","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","110,694","1.6%","1,488,600","",""
"MSFT","MICROSOFT CORP","COM","594918104","110,660","1.6%","1,089,633","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","99,490","1.5%","3,351,620","",""
"T.TO","TELUS CORP","COM","87971M103","94,430","1.4%","2,849,820","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","89,543","1.3%","917,344","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","87,396","1.3%","1,710,669","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","86,563","1.3%","3,102,967","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","81,322","1.2%","2,457,980","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","80,645","1.2%","2,108,274","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","77,982","1.2%","1,667,694","",""
"V","VISA INC","COM CL A","92826C839","71,102","1.1%","538,990","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","67,648","1.0%","1,965,751","",""
"AMZN","AMAZON COM INC","COM","023135106","65,027","1.0%","43,299","",""
"BEP","BROOKFIELD RENEWABLE PARTNER","PARTNERSHIP UNIT","G16258108","64,791","1.0%","2,511,896","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","63,766","0.9%","61,028","",""
"DIS","DISNEY WALT CO","COM DISNEY","254687106","62,082","0.9%","566,283","",""
"BPY","BROOKFIELD PPTY PARTNERS L P","UNIT LTD PARTN","G16249107","58,049","0.9%","3,608,995","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","56,835","0.8%","278,419","",""
"PFE","PFIZER INC","COM","717081103","55,290","0.8%","1,266,927","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","54,222","0.8%","52,364","",""
"AQN.TO","ALGONQUIN PWR UTILS CORP","COM","015857105","54,208","0.8%","5,399,713","",""
"HD","HOME DEPOT INC","COM","437076102","49,309","0.7%","287,004","",""
"MG.TO","MAGNA INTL INC","COM","559222401","45,531","0.7%","1,006,211","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","42,170","0.6%","238,117","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","41,873","0.6%","1,740,085","",""
"BAC","BANK AMER CORP","COM","060505104","40,939","0.6%","1,661,707","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","40,212","0.6%","769,399","",""
"SJR-B.TO","SHAW COMMUNICATIONS INC","CL B CONV","82028K200","39,903","0.6%","2,210,922","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","36,423","0.5%","396,308","",""
"INTC","INTEL CORP","COM","458140100","33,892","0.5%","722,351","",""
"META","FACEBOOK INC","CL A","30303M102","33,470","0.5%","255,348","",""
"CVS","CVS HEALTH CORP","COM","126650100","30,819","0.5%","470,449","",""
