"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TRUST","* SPDR S&P 500 ETF TR TR UNIT","78462F103","377,537","21%","644,174","",""
"IVV","ISHARES CORE S&P 500 ETF","* ISHARES TR CORE S&P500 ETF","464287200","310,249","17%","527,026","",""
"VOO","VANGUARD S&P 500 ETF","* VANGUARD INDEX FDS S&P 500 ETF SHS","922908363","300,911","17%","558,474","",""
"EWT","ISHARES MSCI TAIWAN ETF","* ISHARES INC MSCI TAIWAN ETF","46434G772","104,775","5.8%","2,024,250","",""
"QQQ","INVESCO QQQ TRUST SERIES 1","* INVESCO QQQ TR UNIT SER 1","46090E103","83,796","4.7%","163,910","",""
"IGSB","ISHARES TRUST ISHARES 1-5 YEAR INVESTMENT GRADE CORPORATE BOND ETF","* ISHARES TR ISHS 1-5YR INVS","464288646","78,015","4.4%","1,509,000","",""
"EWY","ISHARES MSCI SOUTH KOREA ETF","* ISHARES INC MSCI STH KOR ETF","464286772","64,705","3.6%","1,271,473","",""
"","AAM SLC LOW DURATION INCOME ETF","ETF SER SOLUTIONS AAM SLC LOW DUR ADDED","26922B428","50,132","2.8%","2,000,000","",""
"BKLN","INVESCO EXCH TRADED FD TR II SR LN ETF","SR LN ETF","46138G508","45,195","2.5%","2,145,000","",""
"CCAP","CRESCENT CAPITAL BDC INC","* CRESCENT CAP BDC INC COM","225655109","42,790","2.4%","2,226,308","",""
"XVV","ISHARES ESG SCREENED S&P 500 ETF","* ISHARES TR ESG SCRND S&P500","46436E569","37,283","2.1%","823,040","",""
"DLR","DIGITAL REALTY TRUST INC","* DIGITAL RLTY TR INC COM","253868103","36,099","2.0%","203,570","",""
"EWS","ISHARES MSCI SINGAPORE ETF","* ISHARES INC MSCI SINGPOR ETF","46434G780","33,269","1.9%","1,522,600","",""
"AVB","AVALONBAY COMMUNITIES INC","* AVALONBAY CMNTYS INC COM","053484101","33,089","1.8%","150,427","",""
"MCW","MISTER CAR WASH INC","COM","60646V105","27,710","1.5%","3,801,138","",""
"PLD","PROLOGIS INC","* PROLOGIS INC. COM","74340W103","23,309","1.3%","220,524","",""
"CPT","CAMDEN PROPERTY TRUST","* CAMDEN PPTY TR SH BEN INT","133131102","18,512","1.0%","159,528","",""
"INDA","ISHARES MSCI INDIA ETF","* ISHARES TR MSCI INDIA ETF","46429B598","16,113","0.9%","306,100","",""
"EIDO","ISHARES MSCI INDONESIA ETF","* ISHARES TR MSCI INDONIA ETF","46429B309","14,318","0.8%","774,800","",""
"EWM","ISHARES MSCI MALAYSIA ETF","* ISHARES INC MSCI MLY ETF NEW","46434G814","12,773","0.7%","520,700","",""
"THD","ISHARES MSCI THAILAND ETF","* ISHARES INC MSCI THAILND ETF","464286624","10,958","0.6%","181,300","",""
"EQIX","EQUINIX INC","* EQUINIX INC COM","29444U700","10,613","0.6%","11,256","",""
"SPG","SIMON PROPERTY GROUP INC","* SIMON PPTY GROUP INC NEW COM","828806109","10,185","0.6%","59,145","",""
"EWU","ISHARES MSCI UNITED KINGDOM INDEX FUND","* ISHARES TR MSCI UK ETF NEW","46435G334","9,282","0.5%","273,793","",""
"BXP","BOSTON PROPERTIES INC","* BXP INC COM","101121101","8,941","0.5%","120,239","",""
"FR","FIRST INDUSTRIAL REALTY TRUST INC","* FIRST INDL RLTY TR INC COM","32054K103","7,588","0.4%","151,376","",""
"REXR","REXFORD INDUSTRIAL REALTY INC","* REXFORD INDL RLTY INC COM","76169C100","6,203","0.3%","160,448","",""
"EWJ","ISHARES MSCI JAPAN UCITS ETF","* ISHARES INC MSCI JPN ETF NEW","46434G822","5,386","0.3%","80,264","",""
"EPHE","ISHARES MSCI PHILIPPINES ETF","ISHARES TR MSCI PHILIPS ETF","46429B408","4,786","0.3%","191,200","",""
"EFA","ISHARES MSCI EAFE INDEX FUND","* ISHARES TR MSCI EAFE ETF","464287465","4,620","0.3%","61,102","",""
"EWQ","ISHARES MSCI FRANCE ETF","* ISHARES INC MSCI FRANCE ETF","464286707","2,072","0.1%","57,750","",""
"EWW","ISHARES MSCI MEXICO CAPPED ETF","* ISHARES INC MSCI MEXICO ETF","464286822","665","0.0%","14,205","",""
"EAF","GRAFTECH INTERNATIONAL LTD","* GRAFTECH INTL LTD COM","384313508","568","0.0%","841,528","",""
"EWG","ISHARES MSCI GERMANY ETF","* ISHARES INC MSCI GERMANY ETF","464286806","491","0.0%","15,425","",""
"BBGI","BEASLEY BROADCAST GROUP INC","CLA","074014200","14","0.0%","1,524","",""
