"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","9,778,607","151,324,805",""
"BANK OF MONTREAL /CAN/","12/31/2023","6,953,342","107,604,632",""
"VANGUARD GROUP INC","12/31/2023","4,769,642","73,810,627",""
"TD Asset Management Inc","12/31/2023","3,017,384","46,469,553",""
"CIBC WORLD MARKET INC.","12/31/2023","2,958,806","45,787,773",""
"BANK OF NOVA SCOTIA","12/31/2023","2,154,140","33,335,463",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","1,794,211","27,918,186",""
"MACKENZIE FINANCIAL CORP","12/31/2023","1,799,354","27,833,039",""
"FIL Ltd","12/31/2023","1,685,379","26,082,831",""
"1832 Asset Management L.P.","12/31/2023","1,587,665","24,569,253",""
"NORGES BANK","12/31/2023","1,478,898","22,886,303",""
"CIBC Asset Management Inc","12/31/2023","1,099,897","16,967,459",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2023","1,068,741","16,513,274",""
"Beutel, Goodman & Co Ltd.","12/31/2023","948,189","14,602,695",""
"JPMORGAN CHASE & CO","12/31/2023","789,525","12,217,978",""
"JPMORGAN CHASE & CO","12/31/2023","789,525","12,217,978",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2023","755,957","11,698,628",""
"BANK OF AMERICA CORP /DE/","12/31/2023","739,671","11,446,473",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2023","728,759","11,277,611",""
"SCOTIA CAPITAL INC.","12/31/2023","716,322","11,097,698",""
"Legal & General Group Plc","12/31/2023","672,621","10,359,121",""
"TD Waterhouse Canada Inc.","12/31/2023","832,506","9,759,414",""
"FMR LLC","12/31/2023","595,772","9,220,133",""
"TORONTO DOMINION BANK","12/31/2023","484,483","7,497,420",""
"DEUTSCHE BANK AG\","12/31/2023","480,931","7,442,452",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","450,433","6,936,955",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","450,493","6,935,147",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2023","446,996","6,913,772",""
"MORGAN STANLEY","12/31/2023","426,829","6,605,225",""
"MORGAN STANLEY","12/31/2023","426,829","6,605,225",""
"GOLDMAN SACHS GROUP INC","12/31/2023","405,975","6,282,508",""
"GOLDMAN SACHS GROUP INC","12/31/2023","405,975","6,282,508",""
"Fiera Capital Corp","12/31/2023","374,708","5,779,933",""
"Capital Research Global Investors","12/31/2023","363,069","5,618,830",""
"Federation des caisses Desjardins du Quebec","12/31/2023","370,544","5,571,255",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2023","317,981","4,920,839",""
"Alberta Investment Management Corp","12/31/2023","307,110","4,729,686",""
"Invesco Ltd.","12/31/2023","289,198","4,475,371",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","276,386","4,263,292",""
"AGF MANAGEMENT LTD","12/31/2023","273,262","3,834,471",""
"APG Asset Management N.V.","12/31/2023","218,199","3,712,101",""
"TORONTO DOMINION BANK","12/31/2023","222,060","3,436,400",""
"CREDIT SUISSE AG/","12/31/2023","211,093","3,266,685",""
"STATE STREET CORP","12/31/2023","203,587","3,150,527",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2023","200,981","3,095,244",""
"Royal Bank of Canada","12/31/2023","199,941","3,094,100","put"
"Clearbridge Investments, LLC","12/31/2023","184,389","2,887,397",""
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","12/31/2023","174,711","2,703,696",""
"WELLS FARGO & COMPANY/MN","12/31/2023","165,012","2,553,579",""
"AMUNDI","12/31/2023","154,975","2,500,418",""
"TORONTO DOMINION BANK","12/31/2023","158,474","2,452,400",""
"Nuveen Asset Management, LLC","12/31/2023","154,576","2,381,089",""
"Credential Qtrade Securities Inc.","12/31/2023","134,125","2,075,328",""
"Bank of New York Mellon Corp","12/31/2023","133,085","2,059,506",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","132,141","2,044,900",""
"DekaBank Deutsche Girozentrale","12/31/2023","130,467","2,036,239",""
"Capital World Investors","12/31/2023","130,556","2,020,482",""
"BANK OF AMERICA CORP /DE/","12/31/2023","126,525","1,958,000","call"
"Canoe Financial LP","12/31/2023","125,202","1,937,625",""
"JARISLOWSKY, FRASER Ltd","12/31/2023","124,498","1,917,358",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2023","123,346","1,908,809",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2023","120,514","1,856,000",""
"CIDEL ASSET MANAGEMENT INC","12/31/2023","119,368","1,838,361",""
"Cardinal Capital Management, Inc.","12/31/2023","116,354","1,794,984",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2023","111,675","1,732,305",""
"HSBC HOLDINGS PLC","12/31/2023","111,420","1,724,094",""
"Royal Bank of Canada","12/31/2023","108,045","1,672,000","call"
"D. E. Shaw & Co., Inc.","12/31/2023","107,887","1,670,100","call"
"Public Sector Pension Investment Board","12/31/2023","107,785","1,659,968",""
"Addenda Capital Inc.","12/31/2023","139,427","1,628,442",""
"CIBC WORLD MARKET INC.","12/31/2023","103,715","1,604,500","call"
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2023","97,848","1,506,920",""
"Korea Investment CORP","12/31/2023","94,043","1,448,327",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2023","87,783","1,351,526",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2023","85,565","1,324,149",""
