Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"3,015,118",1.6%,"77,029,978",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"1,875,922",1.0%,"40,243,274",,
FTS.TO,FORTIS INC,COM,349553107,"1,041,719",0.6%,"21,525,516",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"939,041",0.5%,"22,189,802",,
SQ,BLOCK INC,CL A,852234103,"784,404",0.4%,"4,738,746",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"688,731",0.4%,"22,705,872",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"619,476",0.3%,"24,818,011",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"608,833",0.3%,"6,560,699",,
XOM,EXXON MOBIL CORP,COM,30231G102,"511,017",0.3%,"8,311,914",,
CVX,CHEVRON CORP NEW,COM,166764100,"484,467",0.3%,"4,124,178",,
PXD,PIONEER NAT RES CO,COM,723787107,"267,909",0.1%,"1,467,999",,
COP,CONOCOPHILLIPS,COM,20825C104,"234,160",0.1%,"3,239,633",,
FE,FIRSTENERGY CORP,COM,337932107,"222,972",0.1%,"5,376,731",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"208,548",0.1%,"16,930,047",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"203,896",0.1%,"2,009,023",,
EOG,EOG RES INC,COM,26875P101,"156,187",0.1%,"1,741,016",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"145,126",0.1%,"4,050,710",,
TA.TO,TRANSALTA CORP,COM,89346D107,"139,660",0.1%,"12,613,641",,
SO,SOUTHERN CO,COM,842587107,"138,496",0.1%,"2,025,091",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"129,851",0.1%,"1,238,905",,
CSX,CSX CORP,COM,126408103,"127,111",0.1%,"3,405,999",,
OXY,OCCIDENTAL PETE CORP,COM,674599105,"121,018",0.1%,"4,177,389",,
EL,LAUDER ESTEE COS INC,CL A,518439104,"118,921",0.1%,"320,577",,
HES,HESS CORP,COM,42809H107,"115,955",0.1%,"1,567,141",,
ECL,ECOLAB INC,COM,278865100,"115,290",0.1%,"491,451",,
PGR,PROGRESSIVE CORP,COM,743315103,"98,234",0.1%,"951,795",,
CMS,CMS ENERGY CORP,COM,125896100,"96,599",0.1%,"1,483,391",,
PPL,PPL CORP,COM,69351T106,"95,926",0.1%,"3,201,793",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"94,715",0.1%,"1,067,686",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"85,246",0.0%,"10,446,871",,
CPG.TO,CRESCENT PT ENERGY CORP,COM,22576C101,"77,902",0.0%,"14,674,821",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"77,400",0.0%,"4,895,693",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"61,725",0.0%,"2,069,966",,
TER,TERADYNE INC,COM,880770102,"57,082",0.0%,"348,580",,
SRE,SEMPRA,COM,816851109,"56,189",0.0%,"425,065",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"53,969",0.0%,"555,639",,
WMB,WILLIAMS COS INC,COM,969457100,"47,737",0.0%,"1,841,013",,
VEA,VANGUARD TAX-MANAGED INTL FD,FTSE DEV MKT ETF,921943858,"46,012",0.0%,"898,497",,
EWC,ISHARES INC,MSCI CDA ETF,464286509,"45,057",0.0%,"1,143,029",,
XEL,XCEL ENERGY INC,COM,98389B100,"43,001",0.0%,"629,773",,
BHP,BHP GROUP LTD,SPONSORED ADS,088606108,"42,886",0.0%,"711,448",,
NI,NISOURCE INC,COM,65473P105,"42,174",0.0%,"1,530,808",,
OKE,ONEOK INC NEW,COM,682680103,"39,094",0.0%,"661,918",,
STX,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,"33,527",0.0%,"292,991",,
AES,AES CORP,COM,00130H105,"32,590",0.0%,"1,348,349",,
AEE,AMEREN CORP,COM,023608102,"32,107",0.0%,"360,441",,
HRL,HORMEL FOODS CORP,COM,440452100,"30,401",0.0%,"624,776",,
CTRA,COTERRA ENERGY INC,COM,127097103,"30,253",0.0%,"1,546,697",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"29,851",0.0%,"1,071,061",,
DTE,DTE ENERGY CO,COM,233331107,"28,141",0.0%,"235,558",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"27,530",0.0%,"630,100",,
SQ,BLOCK INC,CL A,852234103,"26,170",0.0%,"158,100",,put
ATH,ATHENE HOLDING LTD,CL A,G0684D107,"25,515",0.0%,"300,100",,
PKI,PERKINELMER INC,COM,714046109,"24,059",0.0%,"119,913",,
MRO,MARATHON OIL CORP,COM,565849106,"23,625",0.0%,"1,442,215",,
ERF.TO,ENERPLUS CORP,COM,292766102,"23,374",0.0%,"2,233,089",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"19,705",0.0%,"908,068",,
IVZ,INVESCO LTD,SHS,G491BT108,"19,079",0.0%,"817,414",,
PNW,PINNACLE WEST CAP CORP,COM,723484101,"18,798",0.0%,"266,468",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"16,327",0.0%,"151,623",,
VST,VISTRA CORP,COM,92840M102,"14,808",0.0%,"661,101",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"14,501",0.0%,"44,581",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"14,300",0.0%,"572,900",,call
TRP.TO,TC ENERGY CORP,COM,87807B107,"12,124",0.0%,"260,100",,call
CQP,CHENIERE ENERGY PARTNERS LP,COM UNIT,16411Q101,"11,748",0.0%,"278,400",,
ARCH,ARCH RESOURCES INC,CL A,03940R107,"11,290",0.0%,"122,639",,
LNT,ALLIANT ENERGY CORP,COM,018802108,"11,133",0.0%,"181,084",,
ARLP,ALLIANCE RESOURCE PARTNERS L,UT LTD PART,01877R108,"10,985",0.0%,"881,600",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"9,872",0.0%,"776,961",,
