Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"814,122",3.3%,"20,470,768",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"549,612",2.2%,"10,309,740",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"423,247",1.7%,"12,903,869",,
FTS.TO,FORTIS INC,COM,349553107,"359,471",1.5%,"8,657,785",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"302,589",1.2%,"9,353,611",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"250,726",1.0%,"6,765,398",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"83,621",0.3%,"8,238,550",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"41,769",0.2%,"1,577,983",,
OVV,ENCANA CORP,COM,292505104,"40,315",0.2%,"8,596,026",,
CSX,CSX CORP,COM,126408103,"34,136",0.1%,"471,750",,
CVX,CHEVRON CORP NEW,COM,166764100,"29,017",0.1%,"240,788",,
VEA,VANGUARD TAX MANAGED INTL FD,FTSE DEV MKT,921943858,"23,116",0.1%,"524,638",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"17,707",0.1%,"1,082,348",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"16,400",0.1%,"500,000",,call
TRP.TO,TC ENERGY CORP,COM,87807B107,"15,897",0.1%,"298,200",,call
EWC,ISHARES INC,MSCI CDA ETF,464286509,"14,806",0.1%,"495,354",,
XOM,EXXON MOBIL CORP,COM,30231G102,"13,693",0.1%,"196,226",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"13,263",0.1%,"54,769",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"11,859",0.0%,"320,000",,put
CPG.TO,CRESCENT PT ENERGY CORP,COM,22576C101,"8,490",0.0%,"1,899,220",,
COP,CONOCOPHILLIPS,COM,20825C104,"8,454",0.0%,"130,000",,call
SO,SOUTHERN CO,COM,842587107,"5,971",0.0%,"93,738",,
EL,LAUDER ESTEE COS INC,CL A,518439104,"4,516",0.0%,"21,863",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"4,311",0.0%,"47,266",,
FE,FIRSTENERGY CORP,COM,337932107,"4,049",0.0%,"83,306",,
TA.TO,TRANSALTA CORP,COM,89346D107,"3,939",0.0%,"550,084",,
SQ,SQUARE INC,CL A,852234103,"3,896",0.0%,"62,282",,
TER,TERADYNE INC,COM,880770102,"3,529",0.0%,"51,753",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"3,408",0.0%,"36,947",,
INDY,ISHARES TR,INDIA 50 ETF,464289529,"2,684",0.0%,"69,499",,
OKE,ONEOK INC NEW,COM,682680103,"2,630",0.0%,"34,759",,
ERF.TO,ENERPLUS CORP,COM,292766102,"2,544",0.0%,"356,820",,
PGR,PROGRESSIVE CORP OHIO,COM,743315103,"2,408",0.0%,"33,267",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"2,224",0.0%,"60,000",,call
EOG,EOG RES INC,COM,26875P101,"2,131",0.0%,"25,444",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"2,000",0.0%,"21,167",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"1,967",0.0%,"92,938",,
CMS,CMS ENERGY CORP,COM,125896100,"1,895",0.0%,"30,148",,
NI,NISOURCE INC,COM,65473P105,"1,787",0.0%,"64,171",,
WMB,WILLIAMS COS INC DEL,COM,969457100,"1,635",0.0%,"68,941",,
BHP,BHP GROUP LTD,SPONSORED AD,088606108,"1,509",0.0%,"27,581",,
SLB,SCHLUMBERGER LTD,COM,806857108,"1,427",0.0%,"35,500",,
STX,SEAGATE TECHNOLOGY PLC,SHS,G7945M107,"1,423",0.0%,"23,913",,
COP,CONOCOPHILLIPS,COM,20825C104,"1,395",0.0%,"21,449",,
AES,AES CORP,COM,00130H105,"1,213",0.0%,"60,964",,
PXD,PIONEER NAT RES CO,COM,723787107,"1,202",0.0%,"7,939",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"1,108",0.0%,"42,677",,
VST,VISTRA ENERGY CORP,COM,92840M102,873,0.0%,"37,987",,
HUN,HUNTSMAN CORP,COM,447011107,855,0.0%,"35,385",,
GTE,GRAN TIERRA ENERGY INC,COM,38500T101,818,0.0%,"634,108",,
ORI,OLD REP INTL CORP,COM,680223104,664,0.0%,"29,685",,
ECL,ECOLAB INC,COM,278865100,464,0.0%,"2,405",,
PPL,PPL CORP,COM,69351T106,435,0.0%,"12,111",,
OXY,OCCIDENTAL PETE CORP,COM,674599105,385,0.0%,"9,332",,
RIGS,ALPS ETF TR,RIVRFRNT STR,00162Q783,312,0.0%,"12,533",,
XEL,XCEL ENERGY INC,COM,98389B100,251,0.0%,"3,955",,
DBI,DESIGNER BRANDS INC,CL A,250565108,248,0.0%,"15,741",,
HRL,HORMEL FOODS CORP,COM,440452100,244,0.0%,"5,420",,
GPRK,GEOPARK LTD,USD SHS,G38327105,232,0.0%,"10,500",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,184,0.0%,"10,588",,
TGA,TRANSGLOBE ENERGY CORP,COM,893662106,116,0.0%,"83,771",,
OBE.TO,OBSIDIAN ENERGY LTD,COM,674482203,12,0.0%,"16,399",,
CHK,CHESAPEAKE ENERGY CORP,COM,165167107,11,0.0%,"13,381",,
