Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COMMON STOCK,594918104,"1,143,414",1.7%,"5,140,787",,
CNQ.TO,CANADIAN NAT RES LTD,COMMON STOCK,136385101,"528,951",0.8%,"22,029,559",,
MMC,MARSH & MCLENNAN COS INC,COMMON STOCK,571748102,"392,906",0.6%,"3,358,169",,
NEE,NEXTERA ENERGY INC,COMMON STOCK,65339F101,"293,221",0.4%,"3,800,667",,
TRP.TO,TC ENERGY CORP,COMMON STOCK,87807B107,"258,953",0.4%,"6,375,000",,
PPL.TO,PEMBINA PIPELINE CORP,COMMON STOCK,706327103,"229,693",0.3%,"9,721,905",,
SO,SOUTHERN CO,COMMON STOCK,842587107,"116,048",0.2%,"1,889,111",,
PGR,PROGRESSIVE CORP,COMMON STOCK,743315103,"94,093",0.1%,"951,590",,
DUK,DUKE ENERGY CORP NEW,COMMON STOCK,26441C204,"89,544",0.1%,"977,972",,
D,DOMINION ENERGY INC,COMMON STOCK,25746U109,"72,078",0.1%,"958,488",,
VEA,VANGUARD TAX-MANAGED INTL FD,PUBLIC FUND,921943858,"70,815",0.1%,"1,500,000",,
ECL,ECOLAB INC,COMMON STOCK,278865100,"67,870",0.1%,"313,688",,
EL,LAUDER ESTEE COS INC,COMMON STOCK,518439104,"65,136",0.1%,"244,696",,
CSX,CSX CORP,COMMON STOCK,126408103,"63,030",0.1%,"694,545",,
BX,BLACKSTONE GROUP INC,COMMON STOCK,09260D107,"50,850",0.1%,"784,602",,
DOW,DOW INC,COMMON STOCK,260557103,"42,983",0.1%,"774,473",,
XEL,XCEL ENERGY INC,COMMON STOCK,98389B100,"40,168",0.1%,"602,503",,
EOG,EOG RES INC,COMMON STOCK,26875P101,"34,607",0.1%,"693,950",,
PNM,PNM RES INC,COMMON STOCK,69349H107,"34,549",0.1%,"711,900",,
NRG,NRG ENERGY INC,COMMON STOCK,629377508,"33,326",0.0%,"887,500",,
