Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CNQ.TO,CANADIAN NAT RES LTD,COMMON STOCK,136385101,"1,408,183",1.8%,"21,389,589",,
CIVI,CIVITAS RESOURCES INC,COMMON STOCK,17888H103,"1,126,951",1.4%,"16,480,721",,
TRP.TO,TC ENERGY CORP,COMMON STOCK,87807B107,"485,958",0.6%,"12,379,924",,
LNG,CHENIERE ENERGY INC,COMMON STOCK,16411R208,"301,816",0.4%,"1,768,010",,
SU.TO,SUNCOR ENERGY INC NEW,COMMON STOCK,867224107,"281,860",0.4%,"8,755,273",,
NEE,NEXTERA ENERGY INC,COMMON STOCK,65339F101,"278,188",0.4%,"4,579,982",,
ENB.TO,ENBRIDGE INC,COMMON STOCK,29250N105,"196,095",0.2%,"5,420,775",,
DUK,DUKE ENERGY CORP NEW,COMMON STOCK,26441C204,"125,536",0.2%,"1,293,661",,
SO,SOUTHERN CO,COMMON STOCK,842587107,"120,059",0.2%,"1,712,201",,
COP,CONOCOPHILLIPS,COMMON STOCK,20825C104,"116,049",0.1%,"999,821",,
PPL.TO,PEMBINA PIPELINE CORP,COMMON STOCK,706327103,"99,078",0.1%,"2,863,755",,
SQ,BLOCK INC,COMMON STOCK,852234103,"95,794",0.1%,"1,238,450",,
CVX,CHEVRON CORP NEW,COMMON STOCK,166764100,"74,581",0.1%,"500,010",,
AEP,AMERICAN ELEC PWR CO INC,COMMON STOCK,025537101,"72,242",0.1%,"889,470",,
XEL,XCEL ENERGY INC,COMMON STOCK,98389B100,"70,567",0.1%,"1,139,847",,
EL,LAUDER ESTEE COS INC,COMMON STOCK,518439104,"61,216",0.1%,"418,577",,
EOG,EOG RES INC,COMMON STOCK,26875P101,"60,983",0.1%,"504,202",,
FTS.TO,FORTIS INC,COMMON STOCK,349553107,"60,190",0.1%,"1,456,008",,
CSX,CSX CORP,COMMON STOCK,126408103,"51,229",0.1%,"1,477,632",,
TALO,TALOS ENERGY INC,COMMON STOCK,87484T108,"48,382",0.1%,"3,400,000",,
CMS,CMS ENERGY CORP,COMMON STOCK,125896100,"48,333",0.1%,"832,337",,
