Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CVX,CHEVRON CORP NEW,COM,166764100,"235,438",0.5%,"2,006,285",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"161,032",0.3%,"3,459,166",,
VEA,VANGUARD TAX-MANAGED INTL FD,FTSE DEV MKT ETF,921943858,"125,097",0.3%,"2,450,000",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"112,522",0.2%,"3,706,000",,
PGR,PROGRESSIVE CORP,COM,743315103,"89,680",0.2%,"873,644",,
PNM,PNM RES INC,COM,69349H107,"67,906",0.1%,"1,488,849",,
XOM,EXXON MOBIL CORP,COM,30231G102,"64,568",0.1%,"1,055,197",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"55,353",0.1%,"592,897",,
COP,CONOCOPHILLIPS,COM,20825C104,"46,339",0.1%,"641,994",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"36,142",0.1%,"2,278,831",,
ARCH,ARCH RESOURCES INC,CL A,03940R107,"33,332",0.1%,"365,000",,
FTS.TO,FORTIS INC,COM,349553107,"25,081",0.1%,"519,353",,
WMB,WILLIAMS COS INC,COM,969457100,"22,188",0.0%,"852,076",,
EOG,EOG RES INC,COM,26875P101,"19,070",0.0%,"214,683",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"17,816",0.0%,"594,850",,
EVRG,EVERGY INC,COM,30034W106,"16,791",0.0%,"244,732",,
NI,NISOURCE INC,COM,65473P105,"16,044",0.0%,"581,100",,
AES,AES CORP,COM,00130H105,"14,127",0.0%,"581,343",,
OXY,OCCIDENTAL PETE CORP,COM,674599105,"13,964",0.0%,"481,676",,
CRK,COMSTOCK RES INC,COM,205768302,"13,096",0.0%,"1,618,800",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"12,838",0.0%,"144,300",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"12,530",0.0%,"123,542",,
FE,FIRSTENERGY CORP,COM,337932107,"10,694",0.0%,"257,139",,
ECL,ECOLAB INC,COM,278865100,"10,501",0.0%,"44,764",,
XEL,XCEL ENERGY INC,COM,98389B100,"9,140",0.0%,"135,000",,
NRG,NRG ENERGY INC,COM NEW,629377508,"7,575",0.0%,"175,839",,
SO,SOUTHERN CO,COM,842587107,"7,448",0.0%,"108,600",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"6,892",0.0%,"162,942",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"6,140",0.0%,"19,302",,
CTRA,COTERRA ENERGY INC,COM,127097103,"5,299",0.0%,"278,872",,
CHK,CHESAPEAKE ENERGY CORP,COM,165167735,"5,162",0.0%,"80,000",,
OKE,ONEOK INC NEW,COM,682680103,"4,801",0.0%,"81,697",,
POW,POWERED BRANDS,CL A,G7209M108,"4,650",0.0%,"474,999",,
MNR,MONMOUTH REAL ESTATE INVT CO,CL A,609720107,"4,513",0.0%,"214,800",,
HUN,HUNTSMAN CORP,COM,447011107,"4,488",0.0%,"128,665",,
MDC,M D C HLDGS INC,COM,552676108,"4,466",0.0%,"80,000",,
PNW,PINNACLE WEST CAP CORP,COM,723484101,"4,082",0.0%,"57,830",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"4,009",0.0%,"41,300",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"3,470",0.0%,"32,170",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"3,294",0.0%,"150,000",,
VST,VISTRA CORP,COM,92840M102,"3,240",0.0%,"142,300",,
TER,TERADYNE INC,COM,880770102,"2,665",0.0%,"16,299",,
SAIL,SAILPOINT TECHNOLOGIES HLDGS,COM,78781P105,"2,465",0.0%,"51,000",,
DTE,DTE ENERGY CO,COM,233331107,"2,271",0.0%,"19,000",,
IDA,IDACORP INC,COM,451107106,"2,266",0.0%,"20,000",,
AEE,AMEREN CORP,COM,023608102,"2,056",0.0%,"23,100",,
CMS,CMS ENERGY CORP,COM,125896100,"2,030",0.0%,"31,200",,
ENLC,ENLINK MIDSTREAM LLC,COM UNIT REP LTD,29336T100,"1,943",0.0%,"282,000",,
NFG,NATIONAL FUEL GAS CO,COM,636180101,"1,600",0.0%,"25,025",,
EL,LAUDER ESTEE COS INC,CL A,518439104,"1,533",0.0%,"4,141",,
CSX,CSX CORP,COM,126408103,"1,520",0.0%,"40,418",,
EQNR,EQUINOR ASA,SPONSORED ADR,29446M102,"1,520",0.0%,"57,719",,
SRE,SEMPRA,COM,816851109,"1,296",0.0%,"9,800",,
SQ,BLOCK INC,CL A,852234103,"1,279",0.0%,"7,922",,
IVZ,INVESCO LTD,SHS,G491BT108,"1,255",0.0%,"54,500",,
PKI,PERKINELMER INC,COM,714046109,"1,147",0.0%,"5,704",,
GPOR,GULFPORT ENERGY CORP,COMMON SHARES,402635502,"1,001",0.0%,"13,900",,
ENB.TO,ENBRIDGE INC,COM,29250N105,793,0.0%,"20,290",,
ACBI,ATLANTIC CAP BANCSHARES INC,COM,048269203,785,0.0%,"27,300",,
MRO,MARATHON OIL CORP,COM,565849106,440,0.0%,"26,822",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,418,0.0%,"16,675",,
LNT,ALLIANT ENERGY CORP,COM,018802108,369,0.0%,"6,000",,
NWE,NORTHWESTERN CORP,COM NEW,668074305,279,0.0%,"4,879",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,152,0.0%,"3,455",,
