Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COM,594918104,"110,021",5.4%,"458,765",,
ADI,ANALOG DEVICES INC,COM,032654105,"41,007",2.0%,"250,000",,
WM,WASTE MGMT INC DEL,COM,94106L109,"36,082",1.8%,"230,000",,
C,CITIGROUP INC,COM NEW,172967424,"15,500",0.8%,"342,709",,
V,VISA INC,COM CL A,92826C839,"8,972",0.4%,"43,186",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"7,616",0.4%,"117,714",,
XOM,EXXON MOBIL CORP,COM,30231G102,"7,066",0.3%,"64,069",,
CI,CIGNA CORP NEW,COM,125523100,"6,584",0.3%,"19,871",,
COP,CONOCOPHILLIPS,COM,20825C104,"6,156",0.3%,"52,173",,
PG,PROCTER AND GAMBLE CO,COM,742718109,"4,923",0.2%,"32,488",,
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,"3,797",0.2%,"11,059",,
KR,KROGER CO,COM,501044101,"3,395",0.2%,"76,165",,
MS,MORGAN STANLEY,COM NEW,617446448,"3,115",0.2%,"36,641",,
EA,ELECTRONIC ARTS INC,COM,285512109,"2,779",0.1%,"22,752",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,"2,683",0.1%,"7,716",,
ED,CONSOLIDATED EDISON INC,COM,209115104,"2,346",0.1%,"24,623",,
PXD,PIONEER NAT RES CO,COM,723787107,"1,939",0.1%,"8,491",,
BG,BUNGE LIMITED,COM,G16962105,"1,849",0.1%,"18,537",,
RF,REGIONS FINANCIAL CORP NEW,COM,7591EP100,"1,694",0.1%,"78,584",,
CF,CF INDS HLDGS INC,COM,125269100,"1,643",0.1%,"19,290",,
IT,GARTNER INC,COM,366651107,"1,532",0.1%,"4,559",,
BK,BANK NEW YORK MELLON CORP,COM,064058100,"1,331",0.1%,"29,257",,
OC,OWENS CORNING NEW,COM,690742101,"1,255",0.1%,"14,719",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"1,189",0.1%,"3,601",,
AMP,AMERIPRISE FINL INC,COM,03076C106,"1,171",0.1%,"3,764",,
ON,ON SEMICONDUCTOR CORP,COM,682189105,"1,043",0.1%,"16,728",,
TER,TERADYNE INC,COM,880770102,"1,022",0.0%,"11,706",,
GL,GLOBE LIFE INC,COM,37959E102,965,0.0%,"8,012",,
HPE,HEWLETT PACKARD ENTERPRISE C,COM,42824C109,849,0.0%,"53,222",,
EQT,EQT CORP,COM,26884L109,800,0.0%,"23,663",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,785,0.0%,"26,179",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,650,0.0%,"6,847",,
MRO,MARATHON OIL CORP,COM,565849106,608,0.0%,"22,471",,
TW,TRADEWEB MKTS INC,CL A,892672106,552,0.0%,"8,509",,
XEL,XCEL ENERGY INC,COM,98389B100,486,0.0%,"6,936",,
REG,REGENCY CTRS CORP,COM,758849103,423,0.0%,"6,772",,
NI,NISOURCE INC,COM,65473P105,406,0.0%,"14,825",,
WU,WESTERN UN CO,COM,959802109,367,0.0%,"26,704",,
AIZ,ASSURANT INC,COM,04621X108,313,0.0%,"2,508",,
K,KELLOGG CO,COM,487836108,147,0.0%,"2,076",,
CL,COLGATE PALMOLIVE CO,COM,194162103,132,0.0%,"1,682",,
