Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"118,161",5.1%,"1,824,921",,
KO,COCA COLA CO,COM,191216100,"19,254",0.8%,"302,700",,
HD,HOME DEPOT INC,COM,437076102,"16,424",0.7%,"52,000",,
PG,PROCTER AND GAMBLE CO,COM,742718109,"15,898",0.7%,"104,900",,
MO,ALTRIA GROUP INC,COM,02209S103,"13,726",0.6%,"300,300",,
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"13,636",0.6%,"346,100",,
AEM,AGNICO EAGLE MINES LTD,COM,008474108,"13,242",0.6%,"254,840",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"11,779",0.5%,"140,900",,
PM,PHILIP MORRIS INTL INC,COM,718172109,"10,070",0.4%,"99,500",,
CVX,CHEVRON CORP NEW,COM,166764100,"10,033",0.4%,"55,900",,
SO,SOUTHERN CO,COM,842587107,"9,661",0.4%,"135,300",,
MSFT,MICROSOFT CORP,COM,594918104,"9,173",0.4%,"38,250",,
MS,MORGAN STANLEY,COM NEW,617446448,"8,621",0.4%,"101,400",,
PXD,PIONEER NAT RES CO,COM,723787107,"7,559",0.3%,"33,100",,
ADI,ANALOG DEVICES INC,COM,032654105,"6,840",0.3%,"41,700",,
T,AT&T INC,COM,00206R102,"6,791",0.3%,"368,900",,
D,DOMINION ENERGY INC,COM,25746U109,"6,708",0.3%,"109,400",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"6,519",0.3%,"63,300",,
EOG,EOG RES INC,COM,26875P101,"6,463",0.3%,"49,900",,
CCI,CROWN CASTLE INC,COM,22822V101,"6,063",0.3%,"44,700",,
BK,BANK NEW YORK MELLON CORP,COM,064058100,"5,776",0.3%,"126,900",,
SRE,SEMPRA,COM,816851109,"5,362",0.2%,"34,700",,
CL,COLGATE PALMOLIVE CO,COM,194162103,"5,231",0.2%,"66,400",,
XOM,EXXON MOBIL CORP,COM,30231G102,"4,831",0.2%,"43,800",,
PEG,PUBLIC SVC ENTERPRISE GRP IN,COM,744573106,"4,154",0.2%,"67,800",,
REG,REGENCY CTRS CORP,COM,758849103,"3,593",0.2%,"57,500",,
WMB,WILLIAMS COS INC,COM,969457100,"3,540",0.2%,"107,600",,
ARE,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,"3,233",0.1%,"22,200",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,"1,616",0.1%,"4,650",,
F,FORD MTR CO DEL,COM,345370860,"1,513",0.1%,"130,100",,
C,CITIGROUP INC,COM NEW,172967424,"1,433",0.1%,"31,700",,
DOW,DOW INC,COM,260557103,"1,184",0.1%,"23,500",,
V,VISA INC,COM CL A,92826C839,831,0.0%,"4,000",,
AMD,ADVANCED MICRO DEVICES INC,COM,007903107,825,0.0%,"12,751",,
ZTS,ZOETIS INC,CL A,98978V103,732,0.0%,"5,000",,
EW,EDWARDS LIFESCIENCES CORP,COM,28176E108,634,0.0%,"8,500",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,594,0.0%,"1,800",,
DD,DUPONT DE NEMOURS INC,COM,26614N102,553,0.0%,"8,066",,
GM,GENERAL MTRS CO,COM,37045V100,531,0.0%,"15,800",,
PH,PARKER-HANNIFIN CORP,COM,701094104,523,0.0%,"1,800",,
KKR,KKR & CO INC,COM,48251W104,464,0.0%,"10,000",,
DE,DEERE & CO,COM,244199105,385,0.0%,900,,
J,JACOBS SOLUTIONS INC,COM,46982L108,360,0.0%,"3,000",,
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,343,0.0%,"1,000",,
WH,WYNDHAM HOTELS & RESORTS INC,COM,98311A105,285,0.0%,"4,000",,
TGT,TARGET CORP,COM,87612E106,238,0.0%,"1,600",,
LW,LAMB WESTON HLDGS INC,COM,513272104,196,0.0%,"2,200",,
IR,INGERSOLL RAND INC,COM,45687V106,182,0.0%,"3,500",,
