Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"158,555",2.5%,"2,450,491",,
ADI,ANALOG DEVICES INC,COM,032654105,"156,566",2.5%,"954,499",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,"135,106",2.2%,"388,538",,
CVX,CHEVRON CORP NEW,COM,166764100,"118,427",1.9%,"659,800",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"98,258",1.6%,"1,175,343",,
MSFT,MICROSOFT CORP,COM,594918104,"81,487",1.3%,"339,786",,
WM,WASTE MGMT INC DEL,COM,94106L109,"61,790",1.0%,"393,872",,
HDB,HDFC BANK LTD,SPONSORED ADS,40415F101,"33,638",0.5%,"491,718",,
V,VISA INC,COM CL A,92826C839,"7,701",0.1%,"37,068",,
EW,EDWARDS LIFESCIENCES CORP,COM,28176E108,"4,665",0.1%,"62,535",,
TW,TRADEWEB MKTS INC,CL A,892672106,"3,575",0.1%,"55,063",,
OPA,MAGNUM OPUS ACQUISITION LTD,SHS CL A,G5S70A104,"2,581",0.0%,"256,094",,
APA,APA CORPORATION,COM,03743Q108,"2,044",0.0%,"43,800",,
PB,PROSPERITY BANCSHARES INC,COM,743606105,"1,875",0.0%,"25,800",,
MRO,MARATHON OIL CORP,COM,565849106,"1,448",0.0%,"53,500",,
NGC,NORTHERN GENESIS ACQU CORP I,COM,66516W107,753,0.0%,"75,000",,
CNX,CNX RES CORP,COM,12653C108,577,0.0%,"34,300",,
BPAC,BULLPEN PARLAY ACQUISITION C,CLASS A ORD SHS,G1792A100,409,0.0%,"40,000",,
ZT,ZIMMER ENERGY TRANSITION ACQ,COM CL A,989570106,218,0.0%,"21,963",,
