Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COM,594918104,"946,018",9.4%,"2,515,740",,
VST,VISTRA ENERGY CORP,COM,92840M102,"10,373",0.1%,"269,310",,
NFG,NATIONAL FUEL GAS CO N J,COM,636180101,"8,383",0.1%,"167,099",,
COP,CONOCOPHILLIPS,COM,20825C104,"6,277",0.1%,"54,085",,
CHRD,CHORD ENERGY CORPORATION,COM NEW,674215207,"6,173",0.1%,"37,140",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,"6,016",0.1%,"235,762",,
XEL,XCEL ENERGY INC,COM,98389B100,"5,969",0.1%,"96,419",,
EOG,EOG RES INC,COM,26875P101,"5,920",0.1%,"48,949",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"5,694",0.1%,"15,761",,
OGE,OGE ENERGY CORP,COM,670837103,"5,577",0.1%,"159,676",,
EVRG,EVERGY INC,COM,30034W106,"5,189",0.1%,"99,409",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"4,522",0.0%,"158,279",,
DOW,DOW INC,COM,260557103,"3,880",0.0%,"70,766",,
BKH,BLACK HILLS CORP,COM,092113109,"3,852",0.0%,"71,413",,
NWE,NORTHWESTERN CORP,COM NEW,668074305,"3,120",0.0%,"61,319",,
AES,AES CORP,COM,00130H105,"3,053",0.0%,"158,615",,
CHK,CHESAPEAKE ENERGY CORP,COM,165167735,"2,992",0.0%,"38,899",,
ETR,ENTERGY CORP NEW,COM,29364G103,"2,602",0.0%,"25,718",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"2,221",0.0%,"38,988",,
BHF,BRIGHTHOUSE FINL INC,COM,10922N103,"2,203",0.0%,"41,636",,
