Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COM,594918104,"56,676",5.9%,"150,719",,
HD,HOME DEPOT INC,COM,437076102,"15,146",1.6%,"43,707",,
AMD,ADVANCED MICRO DEVICES INC,COM,007903107,"13,365",1.4%,"90,669",,
PG,PROCTER AND GAMBLE CO,COM,742718109,"13,350",1.4%,"91,108",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"11,211",1.2%,"173,229",,
CVX,CHEVRON CORP NEW,COM,166764100,"10,751",1.1%,"72,082",,
V,VISA INC,COM CL A,92826C839,"9,903",1.0%,"38,040",,
ON,ON SEMICONDUCTOR CORP,COM,682189105,"9,553",1.0%,"114,374",,
ADI,ANALOG DEVICES INC,COM,032654105,"9,187",1.0%,"46,272",,
AMP,AMERIPRISE FINL INC,COM,03076C106,"7,824",0.8%,"20,600",,
CG,CARLYLE GROUP INC,COM,14316J108,"6,399",0.7%,"157,277",,
BR,BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,"6,201",0.6%,"30,139",,
PNR,PENTAIR PLC,SHS,G7S00T104,"6,104",0.6%,"83,955",,
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"5,566",0.6%,"147,652",,
T,AT&T INC,COM,00206R102,"4,608",0.5%,"274,665",,
ED,CONSOLIDATED EDISON INC,COM,209115104,"3,576",0.4%,"39,319",,
KR,KROGER CO,COM,501044101,"3,526",0.4%,"77,159",,
KO,COCA-COLA CO,COM,191216100,"3,340",0.3%,"56,694",,
CI,THE CIGNA GROUP,COM,125523100,"3,325",0.3%,"11,106",,
GE,GENERAL ELECTRIC CO,COM NEW,369604301,972,0.1%,"7,618",,
AME,AMETEK INC,COM,031100100,722,0.1%,"4,380",,
NEE,NEXTERA ENERGY INC,COM,65339F101,473,0.0%,"7,790",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,348,0.0%,817,,
MU,MICRON TECHNOLOGY INC,COM,595112103,334,0.0%,"3,924",,
Z,ZILLOW GROUP INC,CL C CAP STK,98954M200,250,0.0%,"4,332",,
ECL,ECOLAB INC,COM,278865100,115,0.0%,795,,
