Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"6,372,612",1.5%,"163,065,859",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"4,289,928",1.0%,"92,177,256",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"2,633,590",0.6%,"62,333,485",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"1,928,701",0.4%,"77,055,637",,
CVX,CHEVRON CORP NEW,COM,166764100,"1,352,611",0.3%,"11,526,291",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"1,089,006",0.2%,"35,905,255",,
XOM,EXXON MOBIL CORP,COM,30231G102,"987,193",0.2%,"16,133,245",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"616,565",0.1%,"50,208,846",,
COP,CONOCOPHILLIPS,COM,20825C104,"615,216",0.1%,"8,523,352",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"426,359",0.1%,"10,909,900",,put
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"389,089",0.1%,"10,778,063",,
MPC,MARATHON PETE CORP,COM,56585A102,"329,697",0.1%,"5,152,332",,
EOG,EOG RES INC,COM,26875P101,"288,636",0.1%,"3,249,307",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"256,756",0.1%,"6,570,000",,call
WMB,WILLIAMS COS INC,COM,969457100,"218,805",0.0%,"8,402,666",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"216,280",0.0%,"4,647,200",,put
BIPC,BROOKFIELD INFRASTRUCTURE CO,COM SB VTG SHS A,11275Q107,"211,395",0.0%,"3,096,883",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"134,370",0.0%,"4,486,558",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"118,208",0.0%,"2,683,466",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"107,496",0.0%,"996,709",,
