Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"5,051,254",1.0%,"119,049,134",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"4,312,016",0.9%,"92,671,697",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"3,301,385",0.7%,"106,944,729",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"2,354,384",0.5%,"65,986,083",,
VEA,VANGUARD TAX-MANAGED FDS,VAN FTSE DEV MKT,921943858,"1,967,622",0.4%,"41,146,405",,
XOM,EXXON MOBIL CORP,COM,30231G102,"1,954,551",0.4%,"18,170,054",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"1,624,819",0.3%,"43,973,452",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"1,466,028",0.3%,"20,449,542",,
CVX,CHEVRON CORP NEW,COM,166764100,"1,436,148",0.3%,"9,915,412",,
FTS.TO,FORTIS INC,COM,349553107,"1,193,665",0.2%,"28,714,598",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"916,168",0.2%,"8,503,503",,
WMB,WILLIAMS COS INC,COM,969457100,"842,256",0.2%,"15,562,743",,
ECL,ECOLAB INC,COM,278865100,"831,744",0.2%,"3,549,610",,
SO,SOUTHERN CO,COM,842587107,"697,744",0.1%,"8,475,998",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"649,983",0.1%,"7,047,428",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"545,964",0.1%,"36,037,236",,
PGR,PROGRESSIVE CORP,COM,743315103,"537,214",0.1%,"2,242,040",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"481,806",0.1%,"7,821,532",,
EOG,EOG RES INC,COM,26875P101,"455,251",0.1%,"3,713,910",,
COP,CONOCOPHILLIPS,COM,20825C104,"449,173",0.1%,"4,529,317",,
TA.TO,TRANSALTA CORP,COM,89346D107,"422,966",0.1%,"29,891,529",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"409,601",0.1%,"1,906,273",,
CSX,CSX CORP,COM,126408103,"339,013",0.1%,"10,505,516",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"269,006",0.1%,"6,340,000",,put
TRP.TO,TC ENERGY CORP,COM,87807B107,"246,470",0.0%,"5,297,000",,put
VST,VISTRA CORP,COM,92840M102,"245,794",0.0%,"1,782,799",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"228,710",0.0%,"5,965,301",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"225,412",0.0%,"8,226,736",,
XEL,XCEL ENERGY INC,COM,98389B100,"217,808",0.0%,"3,225,852",,
OKE,ONEOK INC NEW,COM,682680103,"215,887",0.0%,"2,150,256",,
SRE,SEMPRA,COM,816851109,"185,602",0.0%,"2,115,839",,
NI,NISOURCE INC,COM,65473P105,"177,239",0.0%,"4,821,510",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"171,680",0.0%,"1,825,595",,
FE,FIRSTENERGY CORP,COM,337932107,"158,403",0.0%,"3,981,944",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"145,930",0.0%,"3,949,400",,put
XOM,EXXON MOBIL CORP,COM,30231G102,"143,767",0.0%,"1,336,500",,call
DTE,DTE ENERGY CO,COM,233331107,"139,990",0.0%,"1,159,336",,
STX,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,"139,521",0.0%,"1,616,517",,
