Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
FTS.TO,Fortis Inc/Canada,COM,349553107,"225,215",0.4%,"6,747,503",,
ENB.TO,Enbridge Inc,COM,29250N105,"194,123",0.3%,"6,233,821",,
XOM,Exxon Mobil Corp,COM,30231G102,"163,729",0.3%,"2,401,547",,
TRP,TransCanada Corp,COM,89353D107,"163,070",0.3%,"4,532,183",,
SU.TO,Suncor Energy Inc,COM,867224107,"149,581",0.3%,"5,345,637",,
CVX,Chevron Corp,COM,166764100,"117,826",0.2%,"1,083,270",,
CNQ.TO,Canadian Natural Resources Ltd,COM,136385101,"101,115",0.2%,"4,185,472",,
PPL.TO,Pembina Pipeline Corp,COM,706327103,"84,510",0.1%,"2,835,211",,
NEE,NextEra Energy Inc,COM,65339F101,"46,910",0.1%,"269,928",,
COP,ConocoPhillips,COM,20825C104,"40,868",0.1%,"655,594",,
DUK,Duke Energy Corp,COM,26441C204,"35,427",0.1%,"410,583",,
CVE.TO,Cenovus Energy Inc,COM,15135U109,"34,350",0.1%,"4,878,889",,
ENB.TO,Enbridge Inc,CALL,29250N105,"32,468",0.1%,"1,043,800",,
CSX,CSX Corp,COM,126408103,"29,550",0.1%,"475,710",,
EOG,EOG Resources Inc,COM,26875P101,"29,331",0.1%,"336,389",,
SLB,Schlumberger Ltd,COM,806857108,"28,803",0.0%,"798,466",,
IMO.TO,Imperial Oil Ltd,COM,453038408,"28,528",0.0%,"1,102,748",,
OXY,Occidental Petroleum Corp,COM,674599105,"26,330",0.0%,"429,061",,
SO,Southern Co/The,COM,842587107,"26,269",0.0%,"598,236",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"25,510",0.0%,"820,031",,
