Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"1,988,663",1.5%,"50,004,092",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"1,773,779",1.3%,"33,272,919",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"1,248,579",0.9%,"38,066,392",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"1,010,081",0.8%,"31,223,501",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"737,407",0.6%,"19,897,649",,
ET,ENERGY TRANSFER LP,COM UT LTD PTN,29273V100,"588,077",0.4%,"45,836,090",,
CVX,CHEVRON CORP NEW,COM,166764100,"463,828",0.3%,"3,848,885",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"433,426",0.3%,"15,391,578",,
XOM,EXXON MOBIL CORP,COM,30231G102,"351,170",0.3%,"5,032,511",,
COP,CONOCOPHILLIPS,COM,20825C104,"320,197",0.2%,"4,923,825",,
MPLX,MPLX LP,COM UNIT REP LTD,55336V100,"220,816",0.2%,"8,673,052",,
PAA,PLAINS ALL AMERN PIPELINE L,UNIT LTD PARTN,726503105,"212,342",0.2%,"11,546,604",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"207,305",0.2%,"20,424,181",,
VLO,VALERO ENERGY CORP NEW,COM,91913Y100,"123,664",0.1%,"1,320,486",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"101,479",0.1%,"3,833,748",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,"92,349",0.1%,"5,304,231",,
PSX,PHILLIPS 66,COM,718546104,"91,332",0.1%,"819,783",,
OVV,ENCANA CORP,COM,292505104,"61,002",0.0%,"13,006,940",,
HP,HELMERICH & PAYNE INC,COM,423452101,"58,194",0.0%,"1,280,970",,
EOG,EOG RES INC,COM,26875P101,"53,543",0.0%,"639,246",,
