Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
BIPC,BROOKFIELD INFRASTRUCTURE CORP,COMMON STOCK,11275Q107,"592,169",2.3%,"8,675,193",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"234,346",0.9%,"2,310,657",,
TRGP,TARGA RES CORP,COM,87612G101,"199,162",0.8%,"3,812,449",,
NI,NISOURCE INC,COM,65473P105,"172,307",0.7%,"6,240,748",,
OKE,ONEOK INC NEW,COM,682680103,"135,000",0.5%,"2,297,485",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"129,416",0.5%,"15,724,963",,
MPLX,MPLX LP,COM UNIT REP LTD,55336V100,"121,250",0.5%,"4,097,668",,
ATO,ATMOS ENERGY CORP,COM,049560105,"113,462",0.4%,"1,082,962",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"101,879",0.4%,"2,606,943",,
PAA,PLAINS ALL AMERN PIPELINE L,UNIT LTD PARTN,726503105,"99,805",0.4%,"10,685,788",,
WMB,WILLIAMS COS INC,COM,969457100,"87,818",0.3%,"3,372,442",,
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"86,111",0.3%,"3,921,279",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"73,340",0.3%,"4,624,220",,
SR,SPIRE INC,COM,84857L101,"70,138",0.3%,"1,075,400",,
PAGP,PLAINS GP HLDGS L P,LTD PARTNR INT A,72651A207,"57,756",0.2%,"5,695,840",,
WES,WESTERN MIDSTREAM PARTNERS L,COM UNIT LP INT,958669103,"54,811",0.2%,"2,461,214",,
DTM,DT MIDSTREAM INC,COMMON STOCK,23345M107,"48,921",0.2%,"1,019,609",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"32,552",0.1%,"1,073,262",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"31,888",0.1%,"685,166",,
HESM,HESS MIDSTREAM LP,CL A SHS,428103105,"30,466",0.1%,"1,102,660",,
