Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"814,122",3.3%,"20,470,768",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"549,612",2.2%,"10,309,740",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"423,247",1.7%,"12,903,869",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"302,589",1.2%,"9,353,611",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"250,726",1.0%,"6,765,398",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"83,621",0.3%,"8,238,550",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"41,769",0.2%,"1,577,983",,
OVV,ENCANA CORP,COM,292505104,"40,315",0.2%,"8,596,026",,
CVX,CHEVRON CORP NEW,COM,166764100,"29,017",0.1%,"240,788",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"17,707",0.1%,"1,082,348",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"16,400",0.1%,"500,000",,call
TRP.TO,TC ENERGY CORP,COM,87807B107,"15,897",0.1%,"298,200",,call
XOM,EXXON MOBIL CORP,COM,30231G102,"13,693",0.1%,"196,226",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"11,859",0.0%,"320,000",,put
BP,BP PLC,SPONSORED AD,055622104,"9,306",0.0%,"246,580",,
COP,CONOCOPHILLIPS,COM,20825C104,"8,454",0.0%,"130,000",,call
E,ENI S P A,SPONSORED AD,26874R108,"4,650",0.0%,"150,202",,
VLO,VALERO ENERGY CORP NEW,COM,91913Y100,"3,746",0.0%,"40,000",,call
MPC,MARATHON PETE CORP,COM,56585A102,"3,633",0.0%,"60,292",,
VLO,VALERO ENERGY CORP NEW,COM,91913Y100,"3,103",0.0%,"33,130",,
