Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
TRP.TO,TC ENERGY CORP,COM,87807B107,"343,360",1.2%,"8,785,018",,
XOM,EXXON MOBIL CORP,COM,30231G102,"69,986",0.2%,"700,000",,
HES,HESS CORP,COM,42809H107,"58,774",0.2%,"407,700",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"41,379",0.1%,"726,000",,
PTEN,PATTERSON-UTI ENERGY INC,COM,703481101,"35,863",0.1%,"3,320,696",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"32,496",0.1%,"190,362",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"29,859",0.1%,"829,000",,
PSX,PHILLIPS 66,COM,718546104,"26,628",0.1%,"200,000",,
COP,CONOCOPHILLIPS,COM,20825C104,"26,202",0.1%,"225,747",,
MUR,MURPHY OIL CORP,COM,626717102,"25,400",0.1%,"595,413",,
GLNG,GOLAR LNG LTD,SHS,G9456A100,"20,051",0.1%,"872,200",,
VIST,VISTA ENERGY S.A.B. DE C.V.,SPONSORED ADS,92837L109,"14,394",0.0%,"487,800",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"13,623",0.0%,"425,000",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"13,090",0.0%,"380,000",,
PBF,PBF ENERGY INC,CL A,69318G106,"10,189",0.0%,"231,800",,
TPL,TEXAS PACIFIC LAND CORPORATI,COM,88262P102,"10,063",0.0%,"6,400",,
WFRD,WEATHERFORD INTL PLC,ORD SHS,G48833118,"7,963",0.0%,"81,400",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"7,529",0.0%,"144,686",,
RIG,TRANSOCEAN LTD,REG SHS,H8817H100,"6,343",0.0%,"999,000",,
ATO,ATMOS ENERGY CORP,COM,049560105,"5,750",0.0%,"49,619",,
