Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
XOM,EXXON MOBIL CORP,COM,30231G102,"22,749",0.8%,"211,489",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"11,894",0.4%,"280,344",,
EOG,EOG RES INC,COM,26875P101,"7,537",0.2%,"61,490",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"4,674",0.2%,"100,467",,
BKR,BAKER HUGHES COMPANY,CL A,05722G100,"3,994",0.1%,"97,376",,
MPC,MARATHON PETE CORP,COM,56585A102,"3,767",0.1%,"27,009",,
COP,CONOCOPHILLIPS,COM,20825C104,"3,595",0.1%,"36,258",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"3,376",0.1%,"222,875",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"3,090",0.1%,"14,384",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"2,934",0.1%,"107,101",,
TRGP,TARGA RES CORP,COM,87612G101,"2,880",0.1%,"16,139",,
VLO,VALERO ENERGY CORP,COM,91913Y100,"2,663",0.1%,"21,724",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"1,643",0.1%,"10,030",,
EQT,EQT CORP,COM,26884L109,"1,417",0.0%,"30,731",,
HES,HESS CORP,COM,42809H107,"1,296",0.0%,"9,748",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"1,172",0.0%,"35,809",,
TPL,TEXAS PACIFIC LAND CORPORATI,COM,88262P102,"1,076",0.0%,973,,
ATO,ATMOS ENERGY CORP,COM,049560105,607,0.0%,"4,364",,
SOBO.TO,SOUTH BOW CORP,COM,83671M105,469,0.0%,"19,918",,
NI,NISOURCE INC,COM,65473P105,459,0.0%,"12,503",,
