Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
RIG,TRANSOCEAN LTD,REG SHS,H8817H100,"3,509",0.0%,"1,518,900",,put
NFG,NATIONAL FUEL GAS CO N J,COM,636180101,"2,793",0.0%,"67,911",,
SWX,SOUTHWEST GAS HOLDINGS INC,COM,844895102,"1,352",0.0%,"22,254",,
PSX,PHILLIPS 66,COM,718546104,846,0.0%,"12,093",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,809,0.0%,"49,665",,
APA,APACHE CORP,COM,037411105,763,0.0%,"53,776",,
SR,SPIRE INC,COM,84857L101,711,0.0%,"11,105",,
COP,CONOCOPHILLIPS,COM,20825C104,642,0.0%,"16,045",,
HAL,HALLIBURTON CO,COM,406216101,622,0.0%,"32,923",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,612,0.0%,"25,864",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,608,0.0%,"12,566",,
EOG,EOG RES INC,COM,26875P101,581,0.0%,"11,654",,
MUR,MURPHY OIL CORP,COM,626717102,580,0.0%,"47,955",,
BKR,BAKER HUGHES COMPANY,CL A,05722G100,578,0.0%,"27,737",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,549,0.0%,"28,949",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,477,0.0%,"34,884",,
CVX,CHEVRON CORP NEW,COM,166764100,382,0.0%,"4,518",,
SLB,SCHLUMBERGER LTD,COM,806857108,355,0.0%,"16,277",,
AM,ANTERO MIDSTREAM CORP,COM,03676B102,333,0.0%,"43,242",,
BKH,BLACK HILLS CORP,COM,092113109,322,0.0%,"5,234",,
