Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"5,548,236",2.0%,"139,508,070",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"4,164,580",1.5%,"78,120,042",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"2,409,523",0.9%,"73,461,026",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"2,113,510",0.8%,"65,332,559",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"1,378,992",0.5%,"37,209,734",,
CVX,CHEVRON CORP NEW,COM,166764100,"936,179",0.3%,"7,768,467",,
XOM,EXXON MOBIL CORP,COM,30231G102,"795,101",0.3%,"11,394,400",,
EOG,EOG RES INC,COM,26875P101,"462,686",0.2%,"5,523,935",,
OKE,ONEOK INC NEW,COM,682680103,"449,640",0.2%,"5,942,132",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"370,309",0.1%,"13,989,747",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"260,518",0.1%,"25,666,897",,
WMB,WILLIAMS COS INC DEL,COM,969457100,"175,296",0.1%,"7,390,153",,
COP,CONOCOPHILLIPS,COM,20825C104,"150,706",0.1%,"2,317,493",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"145,757",0.1%,"3,665,000",,call
EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,"138,731",0.1%,"4,926,522",,
PSX,PHILLIPS 66,COM,718546104,"136,942",0.0%,"1,229,169",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"129,345",0.0%,"7,906,174",,
BP,BP PLC,SPONSORED ADR,055622104,"118,013",0.0%,"3,126,968",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"103,599",0.0%,"4,893,762",,
VLO,VALERO ENERGY CORP NEW,COM,91913Y100,"103,205",0.0%,"1,102,032",,
