Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"443,076",3.4%,"11,338,528",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"238,396",1.8%,"5,988,614",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"168,759",1.3%,"4,979,278",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"168,370",1.3%,"5,311,292",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"100,185",0.8%,"1,805,775",,
BIPC,BROOKFIELD INFRASTRUCTURE CO,COM SB VTG SHS A,11275Q107,"31,053",0.2%,"798,585",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"27,422",0.2%,"1,414,997",,
XOM,EXXON MOBIL CORP,COM,30231G102,"26,278",0.2%,"238,243",,
CVX,CHEVRON CORP NEW,COM,166764100,"21,351",0.2%,"118,957",,
SHEL,SHELL PLC,SPON ADS,780259305,"10,562",0.1%,"185,457",,
BP,BP PLC,SPONSORED ADR,055622104,"9,069",0.1%,"259,650",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"7,941",0.1%,"163,400",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"6,938",0.1%,"129,794",,
PSX,PHILLIPS 66,COM,718546104,"4,556",0.0%,"43,783",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"4,458",0.0%,"72,482",,
OVV.TO,OVINTIV INC,COM,69047Q102,"4,010",0.0%,"79,278",,
VLO,VALERO ENERGY CORP,COM,91913Y100,"3,817",0.0%,"30,095",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"2,817",0.0%,"159,359",,
MPC,MARATHON PETE CORP,COM,56585A102,"2,370",0.0%,"20,362",,
OKE,ONEOK INC NEW,COM,682680103,"2,030",0.0%,"30,900",,
