"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"IVV","ISHARES","LARGE CAP","464287200","106,013","17%","421,338","",""
"AMJ","JP MORGAN CHASE & CO","MLPS (ENERGY)","46625H365","49,019","7.9%","2,196,184","",""
"EFA","ISHARES","DEVELOPED MARKE","464287465","46,795","7.6%","796,102","",""
"IWR","ISHARES","SMALL CAP","464287499","43,602","7.1%","938,081","",""
"IWM","ISHARES","SMALL CAP","464287655","43,423","7.0%","324,301","",""
"MLPI","ETRACS","MLPS (ENERGY)","902641646","24,716","4.0%","1,250,171","",""
"VEA","VANGUARD","DEVELOPED MARKE","921943858","17,834","2.9%","480,689","",""
"IWB","ISHARES","LARGE CAP","464287622","15,095","2.4%","108,839","",""
"VWO","VANGUARD","EMERGING MARKET","922042858","11,890","1.9%","312,093","",""
"AAPL","APPLE INC","COMMON STOCK, R","037833100","9,893","1.6%","62,717","",""
"IWF","ISHARES","LARGE CAP","464287614","9,018","1.5%","68,889","",""
"VOO","VANGUARD","LARGE CAP","922908363","7,901","1.3%","34,383","",""
"VB","VANGUARD","SMALL CAP","922908751","7,140","1.2%","54,094","",""
"AMZN","AMAZON.COM","COMMON STOCK, R","023135106","6,210","1.0%","4,134","",""
"MSFT","MICROSOFT CORP","COMMON STOCK, R","594918104","5,181","0.8%","51,006","",""
"ABBV","ABBVIE INC","COMMON STOCK, R","00287Y109","4,575","0.7%","49,622","",""
"BA","BOEING CO","COMMON STOCK, R","097023105","4,413","0.7%","13,684","",""
"META","FACEBOOK","COMMON STOCK, R","30303M102","4,070","0.7%","31,047","",""
"SBUX","STARBUCKS CORP","COMMON STOCK, R","855244109","4,061","0.7%","63,067","",""
"JPM","JP MORGAN CHASE & CO","COMMON STOCK, R","46625H100","3,880","0.6%","39,735","",""
"VNQ","VANGUARD","REITS","922908553","3,734","0.6%","50,060","",""
"CM.TO","CANADIAN IMPERIAL BK OF COMMERCE","COMMON STOCK, R","136069101","3,612","0.6%","48,461","",""
"SPY","SPDR S&P","LARGE CAP","78462F103","3,459","0.6%","13,842","",""
"PEP","PEPSICO INC","COMMON STOCK, R","713448108","3,442","0.6%","31,157","",""
"VO","VANGUARD","SMALL CAP","922908629","3,441","0.6%","24,903","",""
"PG","PROCTER & GAMBLE CO","COMMON STOCK, R","742718109","3,264","0.5%","35,506","",""
"GOOGL","ALPHABET INC","COMMON STOCK, R","02079K305","3,261","0.5%","3,121","",""
