Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
CSX,CSX CORP,COM,126408103,"255,968",3.0%,"2,820,589",,
NFG,NATIONAL FUEL GAS CO N J,COM,636180101,"2,793",0.0%,"67,911",,
MDU,MDU RES GROUP INC,COM,552690109,"2,685",0.0%,"101,953",,
OGE,OGE ENERGY CORP,COM,670837103,"2,651",0.0%,"83,207",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"2,000",0.0%,"21,728",,
DTE,DTE ENERGY CO,COM,233331107,"1,968",0.0%,"16,210",,
BC,BRUNSWICK CORP,COM,117043109,"1,751",0.0%,"22,970",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"1,295",0.0%,"14,141",,
NWE,NORTHWESTERN CORP,COM NEW,668074305,"1,189",0.0%,"20,392",,
PGR,PROGRESSIVE CORP,COM,743315103,"1,132",0.0%,"11,445",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"1,035",0.0%,"13,415",,
ALE,ALLETE INC,COM NEW,018522300,"1,024",0.0%,"16,528",,
ORI,OLD REP INTL CORP,COM,680223104,983,0.0%,"49,897",,
STX,SEAGATE TECHNOLOGY PLC,SHS,G7945M107,939,0.0%,"15,106",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,809,0.0%,"49,665",,
APA,APACHE CORP,COM,037411105,763,0.0%,"53,776",,
SCI,SERVICE CORP INTL,COM,817565104,667,0.0%,"13,594",,
EL,LAUDER ESTEE COS INC,CL A,518439104,642,0.0%,"2,411",,
COP,CONOCOPHILLIPS,COM,20825C104,642,0.0%,"16,045",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,612,0.0%,"25,864",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,608,0.0%,"12,566",,
EOG,EOG RES INC,COM,26875P101,581,0.0%,"11,654",,
MUR,MURPHY OIL CORP,COM,626717102,580,0.0%,"47,955",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,549,0.0%,"28,949",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,529,0.0%,"6,358",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,477,0.0%,"34,884",,
CVX,CHEVRON CORP NEW,COM,166764100,382,0.0%,"4,518",,
SLB,SCHLUMBERGER LTD,COM,806857108,355,0.0%,"16,277",,
TER,TERADYNE INC,COM,880770102,353,0.0%,"2,942",,
BKH,BLACK HILLS CORP,COM,092113109,322,0.0%,"5,234",,
CMS,CMS ENERGY CORP,COM,125896100,312,0.0%,"5,108",,
ENB.TO,ENBRIDGE INC,COM,29250N105,308,0.0%,"9,632",,
BHF,BRIGHTHOUSE FINL INC,COM,10922N103,287,0.0%,"7,927",,
KAR,KAR AUCTION SVCS INC,COM,48238T109,281,0.0%,"15,083",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,264,0.0%,"10,982",,
MRO,MARATHON OIL CORP,COM,565849106,104,0.0%,"15,596",,
