"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"BNS.TO","BANK N S HALIFAX","COM","064149107","534,424","5.9%","9,476,186","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","522,579","5.8%","6,610,430","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","471,153","5.2%","8,402,502","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","331,055","3.7%","8,326,064","",""
"BCE.TO","BCE INC","COM NEW","05534B760","250,851","2.8%","5,419,784","",""
"AAPL","APPLE INC","COM","037833100","247,991","2.8%","844,314","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","231,573","2.6%","4,360,454","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","225,895","2.5%","11,144,520","",""
"MSFT","MICROSOFT CORP","COM","594918104","191,517","2.1%","1,214,084","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","188,998","2.1%","2,093,700","",""
"FTS.TO","FORTIS INC","COM","349553107","185,759","2.1%","4,490,082","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","171,103","1.9%","2,210,705","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","139,936","1.6%","3,776,113","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","137,591","1.5%","4,211,632","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","136,249","1.5%","1,638,750","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","135,107","1.5%","925,822","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","134,497","1.5%","964,665","",""
"V","VISA INC","COM CL A","92826C839","133,542","1.5%","710,422","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","132,330","1.5%","2,294,343","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","124,665","1.4%","2,739,464","",""
"T.TO","TELUS CORP","COM","87971M103","120,070","1.3%","3,104,539","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","113,780","1.3%","2,286,526","",""
"AMZN","AMAZON COM INC","COM","023135106","104,262","1.2%","56,407","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","100,405","1.1%","2,026,990","",""
"DIS","DISNEY WALT CO","COM DISNEY","254687106","96,343","1.1%","665,857","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","88,563","1.0%","66,106","",""
"BEP","BROOKFIELD RENEWABLE PARTNER","PARTNERSHIP UNIT","G16258108","85,924","1.0%","1,856,023","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","76,249","0.8%","336,462","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","75,746","0.8%","297,593","",""
"BPY","BROOKFIELD PROPERTY PARTRS L","UNIT LTD PARTN","G16249107","72,525","0.8%","3,970,210","",""
"PFE","PFIZER INC","COM","717081103","71,156","0.8%","1,815,707","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","68,581","0.8%","51,280","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","65,114","0.7%","1,361,509","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","62,948","0.7%","987,636","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","60,640","0.7%","206,243","",""
"HD","HOME DEPOT INC","COM","437076102","60,180","0.7%","275,532","",""
"AQN.TO","ALGONQUIN PWR UTILS CORP","COM","015857105","58,211","0.6%","4,119,074","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","57,621","0.6%","1,784,836","",""
"CSCO","CISCO SYS INC","COM","17275R102","52,413","0.6%","1,092,687","",""
"META","FACEBOOK INC","CL A","30303M102","51,282","0.6%","249,802","",""
"T","AT&T INC","COM","00206R102","50,804","0.6%","1,299,683","",""
"BAC","BANK AMER CORP","COM","060505104","50,145","0.6%","1,423,184","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","46,707","0.5%","158,860","",""
"MG.TO","MAGNA INTL INC","COM","559222401","44,977","0.5%","820,830","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","43,126","0.5%","702,197","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","42,706","0.5%","341,816","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","41,556","0.5%","129,072","",""
"C","CITIGROUP INC","COM NEW","172967424","40,896","0.5%","511,815","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","39,135","0.4%","184,434","",""
"CVS","CVS HEALTH CORP","COM","126650100","38,949","0.4%","524,180","",""
"HON","HONEYWELL INTL INC","COM","438516106","38,403","0.4%","216,937","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","38,125","0.4%","165,868","",""
"SJR-B.TO","SHAW COMMUNICATIONS INC","CL B CONV","82028K200","36,417","0.4%","1,798,032","",""
"WFC","WELLS FARGO CO NEW","COM","949746101","36,000","0.4%","669,030","",""
"SBUX","STARBUCKS CORP","COM","855244109","35,586","0.4%","404,556","",""
"WM","WASTE MGMT INC DEL","COM","94106L109","34,965","0.4%","306,778","",""
"INTC","INTEL CORP","COM","458140100","34,862","0.4%","582,375","",""
"PEP","PEPSICO INC","COM","713448108","34,690","0.4%","253,756","",""
"WMT","WALMART INC","COM","931142103","31,680","0.4%","266,559","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","31,546","0.4%","701,082","",""
"GIB-A.TO","CGI INC","CL A SUB VTG","12532H104","30,800","0.3%","368,904","",""
"MCD","MCDONALDS CORP","COM","580135101","30,591","0.3%","154,741","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","30,180","0.3%","265,974","",""
"MA","MASTERCARD INC","CL A","57636Q104","29,964","0.3%","100,330","",""
"UL","UNILEVER PLC","SPON ADR NEW","904767704","29,876","0.3%","522,545","",""
"SDY","SPDR SERIES TRUST","S&P DIVID ETF","78464A763","27,923","0.3%","259,454","",""
"BA","BOEING CO","COM","097023105","27,618","0.3%","84,770","",""
"BDX","BECTON DICKINSON & CO","COM","075887109","25,954","0.3%","95,409","",""
"BLK","BLACKROCK INC","COM","09247X101","24,410","0.3%","48,555","",""
"DEO","DIAGEO P L C","SPON ADR NEW","25243Q205","22,836","0.3%","135,571","",""
"FLOT","ISHARES TR","FLTG RATE NT ETF","46429B655","22,376","0.2%","439,358","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","22,245","0.2%","173,756","",""
"BOND","PIMCO ETF TR","ACTIVE BD ETF","72201R775","22,107","0.2%","205,052","",""
"DHR","DANAHER CORPORATION","COM","235851102","21,986","0.2%","143,229","",""
"KO","COCA COLA CO","COM","191216100","21,913","0.2%","395,766","",""
"RTX","UNITED TECHNOLOGIES CORP","COM","913017109","21,587","0.2%","144,126","",""
"OTEX","OPEN TEXT CORP","COM","683715106","20,241","0.2%","459,718","",""
"FNV.TO","FRANCO NEVADA CORP","COM","351858105","19,917","0.2%","193,201","",""
"ACN","ACCENTURE PLC IRELAND","SHS CLASS A","G1151C101","19,874","0.2%","94,368","",""
"MRK","MERCK & CO INC","COM","58933Y105","19,322","0.2%","212,433","",""
"VET.TO","VERMILION ENERGY INC","COM","923725105","17,531","0.2%","1,073,254","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","17,467","0.2%","192,693","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","17,353","0.2%","148,195","",""
"CAE.TO","CAE INC","COM","124765108","17,229","0.2%","651,484","",""
