Investee Company,Bloomberg Code,2022 Loan Amount,,
Canada Development Investment Corp,0148238D CN,2600810000,,
Enbridge Inc,ENB CN,2568166617,,
Pembina Gas Infrastructure Inc,2131499D CN,1777075910,,
Vitol Holding BV,62647Z LN,1553306049,,
Cenovus Energy Inc,CVE CN,1368711667,,
ARC Resources Ltd,ARX CN,1291984320,, 
North West Redwater Partnership,0630082D CN,1217907775,,
Marathon Petroleum Corp,MPC US,1055555556,,
TC Energy Corp,TRP CN,924726337,,
Sempra Energy,SRE US,817777777,,
Atco Ltd/Canada,ACO-X CN,772068008,,
EQT Corp,EQT US,761111111,,
Legacy Reserves Inc,LGCY US,750000000,,
AltaGas Ltd,ALA CN,740524550,,
Ovintiv Inc,OVV US,700000000,,
Keyera Corp,KEY CN,694449098,,
CenterPoint Energy Inc,CNP US,617708328,,
Crescent Energy Co,CPG CN,565099208,,
Targa Resources Corp,TRGP US,532738095,,
Tamarack Valley Energy Ltd,TVE CN,521665055,,
Venture Global,1216765D US,503119022,,
Energy Transfer LP,ET US,493311037,,
Enerflex Ltd,EFX CN,491666666,,
Duke Energy Corp,DUK US,490738508,,
Kinder Morgan Inc,KMI US,441666667,,
