RIV AU Equity 2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2019,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2020,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2021,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2022,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2023,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RIV AU Equity 2024,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RIVERSDALE MINING LTD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RWE GR Equity 2018,120400,5000,16160.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16160.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12557.6389,12429,11658.6389,RWE AG,614.745,18.965,2764,7386,80108
RWE GR Equity 2019,89836.102,622.728,23550.5,1025.17,429.362,5434.45,697.183,64.387,10.375,18.633,14.313,6.368,199.754,14412.6,#N/A N/A,#N/A N/A,#N/A N/A,1237.99,#N/A N/A,16479.2758,13277,16813.2758,RWE AG,614.745,27.35,5613,6450,64009
RWE GR Equity 2020,70200,3100,20201.801,700,800,5500,300,100,1.828,100,#N/A N/A,100,100,12500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20370.9254,13688,23376.9254,RWE AG,637.286,34.57,5198,8993,61668
RWE GR Equity 2021,86900,2700,23000,900,1400,6500,300,100,100,100,#N/A N/A,100,100,13400,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,29825.5784,24526,24154.5784,RWE AG,676.22,35.72,17794,13865,142309
RWE GR Equity 2022,85352.602,132.958,23766.4,1531.07,1178.57,4469.2,21.988,202.472,8.122,20.553,#N/A N/A,5.381,58.476,12771.3,#N/A N/A,#N/A N/A,#N/A N/A,3499.25,#N/A N/A,30998.9627,38366,28748.9627,RWE AG,691.247,41.59,21003,20456,138548
RWE GR Equity 2023,61933.398,195.005,21600,2086.58,2797.55,3124.28,20.251,180.5,15.976,23.469,0,4.039,49.457,10803.3,#N/A N/A,#N/A N/A,#N/A N/A,2446.72,#N/A N/A,34589.3724,28566,30631.3724,RWE AG,743.841,41.18,17028,14641,106494
RWE GR Equity 2024,53242,392.956,21767,1283.84,3657.6,2293.66,31.689,189.037,17.989,28.609,#N/A N/A,6.5,70.829,11928.7,#N/A N/A,70.522,#N/A N/A,2188,#N/A N/A,30239.6618,24224,21436.6618,RWE AG,743.554,28.83,18670,11941,98440
RDKV SG Equity 2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RUDNIK KOVIN AD KOVIN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
RDKV SG Equity 2019,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,RUDNIK KOVIN AD KOVIN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
