year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,6505 TT Equity 2018,28070.699,108.52,,,,,,,,,,,,,,,,,,971474.599,767550.218,1038329.64,FORMOSA PETROCHEMICAL CORP,9525.96,109.0,17043.383,86816.396,405769.455

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,65308.88979374315,252.48109141909885,0.0,65561.37088516225
BMO,21134.581049844634,81.70529474628114,0.0,21216.286344590913
TD,26225.82193792715,101.38779218514844,0.0,26327.2097301123
Scotiabank,6754.483030122304,26.112513209196262,0.0,6780.5955433315
CIBC,11167.023367582959,43.1711862910896,0.0,11210.194553874047
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,62.5577802883485,0.24184543166850173,0.0,62.799625720017005
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1547.426441626958,5.982277728294456,0.0,1553.4087193552525
OMERS,0.0,0.0,0.0,0.0
CPPIB,4446.495640849664,17.189942685253598,0.0,4463.685583534917
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
