year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,AES US Equity 2018,50291.0,314.0,10071.1,,,10070.0,,,1.1,,,,,,,,,,,14658.8305,10736.0,9576.8305,AES CORP,662.0,14.46,19301.0,1849.0,32521.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1351600.4541377234,8438.93624305035,270666.7859789312,1630706.176359705
BMO,1527614.1925034593,9537.90651301597,305914.68243068515,1843066.7814471603
TD,296363.486437397,1850.3934052085397,59348.716634381286,357562.59647698683
Scotiabank,166561.36265542134,1039.9528319938418,33354.99670794007,200956.31219535525
CIBC,204386.61945619693,1276.1209462775814,40929.75051610239,246592.4909185769
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,7540.895288895424,47.082800515264424,1510.1133511760497,9098.091440586737
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,12225.072585340213,76.32921977683534,2448.15033533276,14749.552140449809
OMERS,0.0,0.0,0.0,0.0
CPPIB,421533.94612131856,2631.915433817065,84414.91568635365,508580.77724148927
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,5083.2776042136275,31.73826664260164,1017.959417784412,6132.975288640641
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
