year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,ENGI FP Equity 2018,57205.699,2912.59,139222.0,21670.4004,2824.3601,21889.1992,,,,,,,,61968.3984,,,,30870.0,,60128.7079,60596.0,30202.7079,ENGIE,2396.0,12.525,31775.0,10990.0,153702.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,281309.37315319333,14322.679059515722,684626.7936699874,980258.8458826964
BMO,254805.81099719869,12973.267874103432,620124.6813645771,887903.7602358792
TD,52069.56529911015,2651.087179173097,126722.47333581303,181443.12581409627
Scotiabank,16747.266246216288,852.6758880451247,40758.070249727505,58358.01238398892
CIBC,15002.838264677586,763.8595011541995,36512.629998653196,52279.32776448498
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,2494.475191841987,127.00454021210462,6070.841271080199,8692.32100313429
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,4712.417826349934,239.9296097552895,11468.68115599661,16421.028592101833
OMERS,0.0,0.0,0.0,0.0
CPPIB,54990.20367862446,2799.789533772235,133830.47427735114,191620.46748974783
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
