year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,SNG RO Equity 2018,678.278,0.472,,,,,,,,,,,,,,,,,,9266.6617,5001.242,10714.7427,SOCIETATEA NATIONALA DE GAZE,3854.224,2.78,0.0,1448.081,9134.899

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,7500.675089846068,5.219568734954316,0.0,7505.894658581022
BMO,2252.076303054855,1.5671745435380355,0.0,2253.643477598393
TD,845.2882526054499,0.5882190712801717,0.0,845.87647167673
Scotiabank,316.51623328295136,0.22025727225349048,0.0,316.73649055520485
CIBC,420.65007403304236,0.29272191482488885,0.0,420.94279594786724
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,112.36326281544774,0.07819133164998913,0.0,112.44145414709773
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,435.5263369973411,0.3030740066208029,0.0,435.8294110039619
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
