year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,TALO US Equity 2018,549.088,1.636,,,,,,,,,,,,,,,,,,1399.2121,891.288,883.8221,TALOS ENERGY INC,46.058,16.32,655.304,139.914,2479.986

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1606037.891000915,4785.167386061064,0.0,1610823.0583869761
BMO,523935.3910340101,1561.0581541240028,0.0,525496.449188134
TD,633311.0104759769,1886.9412792461287,0.0,635197.951755223
Scotiabank,175131.58107270682,521.802091167442,0.0,175653.38316387427
CIBC,285830.4955986052,851.6279554448797,0.0,286682.12355405005
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,2598.7527399461947,7.742947364633674,0.0,2606.4956873108285
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,35666.84073638801,106.26885206875907,0.0,35773.10958845677
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,40250.53610223143,119.92590816636061,0.0,40370.462010397794
OMERS,0.0,0.0,0.0,0.0
CPPIB,122243.26628628091,364.2220985422293,0.0,122607.48838482314
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
