year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,TRP CN Equity 2018,13749.0,2343.0,3026.0,,,2985.0,7.136,,11.0,,31.0,,,,,,,,,100182.5,13679.0,44752.5,TC ENERGY CORP,902.0,44.4102,50241.0,446.0,98920.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1751355.162326127,298452.6253058489,386489.9081241942,2436297.69575617
BMO,753358.5630970338,128381.63599798895,166251.53372616053,1047991.7328211833
TD,566323.0074074074,96508.45925925925,124976.43642469136,787807.903091358
Scotiabank,162115.4643874644,27626.48433048433,35775.71944539411,225517.66816334284
CIBC,250466.67202949556,42682.62510474275,55273.10687358248,348422.40400782076
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,822.1289089994972,140.10095525389644,181.42780707223062,1143.6576713256243
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,27768.663516004694,4732.1244176303,6128.002156214737,38628.79008984973
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,34078.410725657784,5807.383542818837,7520.440236053851,47406.23450453047
OMERS,45769.47705714765,7799.686140439081,10100.430434232723,63669.59363181945
CPPIB,107731.45272331155,18358.774727668846,23774.229328685546,149864.45677966595
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
