year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,1088 HK Equity 2019,151510.0,5890.0,,,,,,,,,,,,,,,,,,387690.4547,241871.0,350424.4547,CHINA SHENHUA ENERGY CO-H,19890.0,16.28,50377.0,77252.0,563083.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,60793.036228701305,2363.348844215238,0.0,63156.38507291654
BMO,38698.50510749756,1504.416837721343,0.0,40202.921945218906
TD,43673.687480236236,1697.828653280915,0.0,45371.51613351715
Scotiabank,38555.825852869624,1498.8701357890707,0.0,40054.69598865869
CIBC,19709.1934006511,766.2012350989041,0.0,20475.394635750003
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,507.592257373355,19.73281232875098,0.0,527.325069702106
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,3182.6121009584895,123.72506946502213,0.0,3306.3371704235115
Healthcare of Ontario Pension Plan Trust Fund,5125.644132164501,199.26106486996838,0.0,5324.905197034469
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
