year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,9531 JP Equity 2019,3589.0,260.0,35746.0,,,6830.0,,,,,,8.5,,28921.0,,,,,,2070638.358,1962308.0,1346910.358,TOKYO GAS CO LTD,450.719,2993.5,803213.0,91774.0,2428149.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,281.76990602666376,20.41242005208486,2807.453595586648,3109.635921665397
BMO,74.31882783100552,5.38392177098396,740.4859637288498,820.1887133308393
TD,32.0207003709151,2.3196940920696374,319.0426957129392,353.38309017592394
Scotiabank,6.629566657471647,0.48026952659309785,66.05460821617646,73.16444440024121
CIBC,15.404149858056106,1.1159317255766474,153.48138669522353,170.0014682788563
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.018652317766198363,0.0013512406294821885,0.18584495880757046,0.205848517203251
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,7.660773368260044,0.554973829965899,76.32917951025217,84.54492670847812
Intact Financial,1.2443760566878053,0.09014705342402601,12.398513680447916,13.733036790559748
OMERS,0.0,0.0,0.0,0.0
CPPIB,29.507966706125814,2.137662675840822,294.00672483357647,325.6523542155431
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
