year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,ADANI IN Equity 2019,49239.5,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,611556.557,238841.8,185904.457,ADANI POWER LTD,3856.9389,48.2,434838.0,9185.9,679846.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,145073.72922210253,1.9033018019573356,0.0,145075.6325239045
BMO,42741.72186199925,0.5607520856802266,0.0,42742.28261408493
TD,68369.48581066026,0.8969767733971005,0.0,68370.38278743366
Scotiabank,24559.300361475463,0.3222069280458402,0.0,24559.62256840351
CIBC,5816.9552061895965,0.07631582496163608,0.0,5817.0315220145585
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,222.2213558871265,0.0029154438185416934,0.0,222.22427133094504
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2245.52163910734,0.02946022967055599,0.0,2245.5510993370103
OMERS,0.0,0.0,0.0,0.0
CPPIB,25050.35923372187,0.32864939865320175,0.0,25050.68788312052
Healthcare of Ontario Pension Plan Trust Fund,89.2593527222427,0.0011710423919529804,0.0,89.26052376463466
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
