year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,COP US Equity 2019,19500.0,1000.0,195165.0,,,,2672.9099,,,,,4901.3599,14236.0,173354.0,,,,,,78328.9913,36670.0,70548.9913,CONOCOPHILLIPS,1117.26,65.03,15827.0,8116.0,70514.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,294683.6250513479,15111.980771863993,2949318.6925724763,3259114.298395688
BMO,342554.25279198855,17566.884758563516,3428428.2365657976,3788549.3741163495
TD,90646.306660943,4648.528546715026,907226.6794640932,1002521.5146717512
Scotiabank,37624.06734793386,1929.4393511760954,376557.6220956684,416111.1287947784
CIBC,72376.02417711676,3711.590983441885,724369.9440796993,800457.559240258
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,45.3302016240167,2.324625724308549,453.683882042974,501.33870939129923
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,3290.3092690993585,168.73380867176198,32930.810559997335,36389.85363776846
OMERS,0.0,0.0,0.0,0.0
CPPIB,62769.89108418337,3218.968773547865,628227.6901984707,694216.550056202
Healthcare of Ontario Pension Plan Trust Fund,14013.38958619526,718.6353633946287,140251.94594937036,154983.97089896025
OTPP,1973.245788986922,101.19209174291908,19749.08069454141,21823.518575271253
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
