year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,DTE US Equity 2019,30714.0,1719.0,17730.4,,,4403.1099,637.208,,4.143,,,,,12263.5996,,,,,,42643.1222,12669.0,24962.1222,DTE ENERGY COMPANY,185.0,110.4998,17610.0,93.0,42268.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4912649.612699998,274950.9892632447,2768393.459396794,7955994.061360036
BMO,1525809.714688441,85396.46088264082,859829.6168950732,2471035.7924661553
TD,1365480.5157551868,76423.16229026392,769480.3470164087,2211384.0250618593
Scotiabank,919647.6038789041,51470.80260037235,518243.0281505538,1489361.4346298303
CIBC,749618.7365031006,41954.63332841147,422427.76725041424,1214001.1370819262
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,2587.5821567767184,144.82170109719277,1458.1633300192723,4190.5671878931835
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,120579.11374218015,6748.567315322253,67949.16310757425,195276.84416507665
OMERS,0.0,0.0,0.0,0.0
CPPIB,355654.1238308656,19905.236662930845,200419.45341990993,575978.8139137063
Healthcare of Ontario Pension Plan Trust Fund,2056.0388891934836,115.07230743386073,1158.6262122977669,3329.737408925111
OTPP,3932.435840731522,220.09042163891016,2216.019972772988,6368.54623514342
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
