year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,GPRK US Equity 2019,323.422,0.023,10.356,,,,,,,,,,,,,,,,10.3563,1647.0716,628.9,1307.6036,GEOPARK LTD,60.4584,22.012,450.662,111.194,852.132

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,43326.95213136458,3.081175365378315,1387.3728885420626,44717.40619527202
BMO,32134.098451549078,2.2852009584556057,1028.9663776545124,33165.350030162044
TD,24984.255980941016,1.7767433494370923,800.0211804250156,25786.053904715467
Scotiabank,21522.739899155982,1.5305792978850776,689.1799296820534,22213.45040813592
CIBC,11387.509853903737,0.8098172871350308,364.6395987285443,11752.959269919416
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,290.3765544848607,0.02064998903337372,9.298151366362099,299.6953558402562
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,4105.58809871738,0.2919669233091741,131.46508903768694,4237.345154678375
Healthcare of Ontario Pension Plan Trust Fund,3792.20897219922,0.2696811174273304,121.43037201794182,3913.9090253345894
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
