year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,LKOH RU Equity 2019,39800.0,8636.0,385720.0,,,,,,,,,,,385720.0,,,,,,64846.5293,121243.6706,64917.7876,LUKOIL PJSC,664.578,,8917.0706,9118.644,95855.3816

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,996454.4232249836,216215.5879138432,9657095.480561323,10869765.49170015
BMO,354938.9566689423,77016.40275861773,3439875.7378478497,3871831.09727541
TD,402661.3470111541,87371.44202985746,3902375.2454558383,4392408.034496849
Scotiabank,194900.3511635384,42290.438006239136,1888868.4284120612,2126059.217581839
CIBC,130730.77986409998,28366.60841473285,1266971.7690748908,1426069.1573537237
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,809.2697231721434,175.59932988227715,7843.002955325606,8827.872008380027
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,10579.975464228544,2295.695178620043,102535.3803030712,115411.0509459198
OMERS,0.0,0.0,0.0,0.0
CPPIB,174496.33172649896,37863.07338668455,1691123.745566462,1903483.1506796454
Healthcare of Ontario Pension Plan Trust Fund,51107.835350815316,11089.629801247263,495309.40330443427,557506.8684564969
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
