year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,MER PM Equity 2019,2404.52,1981.38,32309.6,0.0,0.0,32309.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,328232.9441,318315.0,357344.9441,MANILA ELECTRIC COMPANY,1127.0,317.0,41253.0,71376.0,357019.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4364.27732248416,3596.2652842245716,58642.911923599815,66603.45453030855
BMO,1778.1318669565026,1465.2217151657192,23892.805786027067,27136.15936814929
TD,1900.7180293837548,1566.2355435015656,25539.999352127397,29006.952925012716
Scotiabank,1096.1226958632658,903.2304106971694,14728.630185760057,16727.983292320492
CIBC,802.45555968956,661.2419097606593,10782.61696777145,12246.314437221668
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,6.641373494110113,5.4726451074475975,89.24031450988143,101.35433311143913
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,90.84618393513742,74.85935318708209,1220.7026202613063,1386.4081573835258
OMERS,0.0,0.0,0.0,0.0
CPPIB,798.8892699713447,658.3032046877644,10734.6966367783,12191.88911143741
Healthcare of Ontario Pension Plan Trust Fund,296.9171700112491,244.66660386143127,3989.68401019557,4531.26778406825
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
