year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,NMDC IN Equity 2019,29.603,60.323,,,,,,,,,,,,,,,,,,288018.26,121526.7,330468.36,NMDC LTD,9185.549,24.95,3641.5,46230.5,298912.3

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,120.02321668555503,244.5752288660857,0.0,364.59844555164074
BMO,89.58205894506814,182.54428746219455,0.0,272.1263464072627
TD,27.21783932961086,55.462680197281216,0.0,82.68051952689208
Scotiabank,8.887841649954023,18.111045226841078,0.0,26.9988868767951
CIBC,23.371499504521406,47.62486790565971,0.0,70.99636741018112
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.08303966225389928,0.1692126320353331,0.0,0.25225229428923235
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1.8257976225015915,3.7204874499937,0.0,5.546285072495292
OMERS,0.0,0.0,0.0,0.0
CPPIB,23.280487318059738,47.43940940064579,0.0,70.71989671870553
Healthcare of Ontario Pension Plan Trust Fund,4.339023905344524,8.841770734118086,0.0,13.18079463946261
OTPP,0.1536278541158978,0.31305249616029807,0.0,0.46668035027619587
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
