year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,OINL IN Equity 2019,1496.52,123.826,,,,,,,,,,,,,,,,,,285659.9432,137804.5,201102.9432,OIL INDIA LTD,1698.2053,123.63,151137.1,66580.1,524324.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1178.8699114374772,97.54279639006297,0.0,1276.41270782754
BMO,346.2409920612241,28.648890147123417,0.0,374.88988220834756
TD,952.3487672158545,78.79984126458075,0.0,1031.1486084804353
Scotiabank,58.036741254416405,4.8021125829052504,0.0,62.83885383732166
CIBC,57.128870702674035,4.726992986147406,0.0,61.855863688821444
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.16371436178960905,0.01354615679239845,0.0,0.1772605185820075
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,172.1084436122763,14.240705195208697,0.0,186.349148807485
Healthcare of Ontario Pension Plan Trust Fund,41.79181162774747,3.4579643884595317,0.0,45.249776016207
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
