year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,015760 KS Equity 2020,171970.0,3620.0,414180.0,39334.0,3.0,196005.0,348.0,25.0,6.292,2.0,,,,,,,,,2767.0,88526623.71,58569314.0,17589815.71,KOREA ELECTRIC POWER CORP,641.9641,27400.0,74345677.0,4541167.0,203142111.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2087.164759726752,43.93520050131327,2894.50795487203,5025.607915100095
BMO,1185.9992778741853,24.965502040498635,1644.7596330290376,2855.7244129437213
TD,891.6234421423623,18.768836777085255,1236.5152937755252,2146.9075726949727
Scotiabank,1149.9722119601445,24.207125703876972,1594.7968170161118,2768.9761546801333
CIBC,688.6009046197108,14.49517517429408,954.960928151532,1658.057007945537
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.08799012027852565,0.001852208149143821,0.12202587357295286,0.21186820200062234
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,237.01605399025527,4.9892313510770725,328.69702811434405,570.7023134556764
OMERS,0.0,0.0,0.0,0.0
CPPIB,6.061541619187322,0.12759656138546321,8.406226846136752,14.595365026709537
Healthcare of Ontario Pension Plan Trust Fund,79.7092722923133,1.6778947822188413,110.54188302669829,191.92905010123042
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,26.397036083557698,0.5556624447431462,36.60776207188586,63.5604606001867
