year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,ARAMCO AB Equity 2020,50200.0,18100.0,,,,,,,,,,,,,,,,,,7404501.0,862091.0,6995898.0,SAUDI ARABIAN OIL CO,241859.64,28.926,536077.0,237720.0,1914261.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,5455.375821660064,1966.9781349013379,0.0,7422.353956561401
BMO,6067.938126027566,2187.842232691214,0.0,8255.780358718781
TD,1652.0819771814854,595.6709917726073,0.0,2247.7529689540925
Scotiabank,2632.122823974849,949.032332947107,0.0,3581.155156921956
CIBC,2620.9647138937707,945.0091896708615,0.0,3565.973903564632
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,2.5042960889366883,0.9029434105528698,0.0,3.407239499489558
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,265.8930990703409,95.86982257317074,0.0,361.7629216435116
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,76.6285900680656,27.629033470756724,0.0,104.25762353882233
OMERS,0.0,0.0,0.0,0.0
CPPIB,3130.190720333544,1128.614582431019,0.0,4258.805302764563
Healthcare of Ontario Pension Plan Trust Fund,2362.354882818475,851.765405956462,0.0,3214.120288774937
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,110.16750101273631,39.721748373118075,0.0,149.88924938585438
