year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,ELE SM Equity 2020,10298.3,457.184,42427.301,2.145,0.0,9142.1602,0.0,19.095,1.363,3.887,0.0,0.0,0.0,12045.0,0.0,0.0,0.0,0.0,,29540.2593,,23661.2593,ENDESA SA,1058.7521,22.35,7309.0,1580.0,32062.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,379085.2302861158,16829.156455252578,780884.3664756423,1176798.7532170108
BMO,63693.29295588253,2827.607900987755,131202.93998545545,197723.84084232574
TD,64602.94221533677,2867.990982373453,133076.74257372261,200547.67577143284
Scotiabank,12366.007062016348,548.9780422633719,25472.956525285193,38387.94162956491
CIBC,18320.510180960653,813.3229879273586,37738.74275020519,56872.5759190932
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,18.280032965109342,0.8115260374159375,37.655363017808604,56.74692202033388
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,29485.693172721367,1308.9914983519072,60738.100547725284,91532.78521879856
Healthcare of Ontario Pension Plan Trust Fund,39468.767366071675,1752.1813250235587,81302.41153676042,122523.36022785566
OTPP,279.42336103809987,12.404755143357901,575.5891204150744,867.4172365965321
OPSEU,742.082290607415,32.94409270938509,1528.6284272705636,2303.6548105873635
Investment Management of Ontario,0.0,0.0,0.0,0.0
