year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,ENPL LI Equity 2020,48300.0,2300.0,,,,,,,,,,,,,,,,,,19095.0285,10356.0,6644.0285,EN+ GROUP INTERNA- GDR REG S,518.003,10.4,12328.0,2786.0,22661.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,233749.4789494055,11130.927569019308,0.0,244880.4065184248
BMO,86967.25187136087,4141.297708160041,0.0,91108.54957952091
TD,59953.09923790965,2854.909487519507,0.0,62808.00872542916
Scotiabank,13005.467992799851,619.3079996571358,0.0,13624.775992456987
CIBC,30728.96210484347,1463.283909754451,0.0,32192.24601459792
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,43.61811512397937,2.077053101141875,0.0,45.69516822512125
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,12249.420663984207,583.3057459040099,0.0,12832.726409888217
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,13092.70422304781,623.4621058594195,0.0,13716.16632890723
Healthcare of Ontario Pension Plan Trust Fund,10555.583860003007,502.6468504763337,0.0,11058.230710479342
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
