year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,EXX SJ Equity 2020,385.178,649.306,70956.898,0.18,191.65,,12.71,0.02,0.196,9.42,,459.72,,69220.0,,,,1062.95,,54980.0812,28924.0,34855.0812,EXXARO RESOURCES LTD,251.0,13890.0,14150.0,3365.0,78606.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1357.1981261658916,2287.8692098413476,250020.76554175408,253665.8328777613
BMO,369.4186017848095,622.7399141448565,68053.67605725159,69045.83457318126
TD,121.91289045110587,205.51218202297574,22458.58847897333,22786.013551447413
Scotiabank,26.69883460205509,45.007018833168004,4918.4145907541315,4990.120444189354
CIBC,62.868240915186846,105.97886181369735,11581.482039238515,11750.329141967399
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.08840673709289766,0.14902986368598678,16.28614102898719,16.523577629766073
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,16.5652123627817,27.924470708161767,3051.6156753064743,3096.105358377418
Fairfax,13.249959721798037,22.335850819937267,2440.885386719455,2476.47119726119
Intact Financial,8.674911077240584,14.623555374187454,1598.077588469368,1621.3760549207962
OMERS,0.0,0.0,0.0,0.0
CPPIB,21.051854270246256,35.4877362902256,3878.1373325275745,3934.6769230880464
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
