year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,FE US Equity 2020,14704.7,1068.43,28257.699,,,28230.9004,,18.168,8.584,,,,,,,,,,,39605.8277,10790.0,16624.8277,FIRSTENERGY CORP,542.0,30.61,24782.0,1734.0,44464.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,59258.12278944701,4305.640790490718,113874.84516247945,177438.6087424172
BMO,214379.50019175233,15576.617638569569,411967.6972739512,641923.8151042731
TD,35353.56092743145,2568.757275000209,67938.0494528674,105860.36765529907
Scotiabank,33150.26544906688,2408.6678486297933,63704.03191003296,99262.96520772963
CIBC,14624.362681364812,1062.5927641944822,28103.27019398823,43790.22563954753
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,179.55398719711243,13.046227841507195,345.0443842614982,537.6445993001178
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,143091.26026009882,10396.87958269787,274974.87836595136,428463.018208748
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,1168344.5271556107,84890.84055770394,2245178.312499106,3498413.6802124204
Healthcare of Ontario Pension Plan Trust Fund,52257.2862935596,3796.966438936386,100421.51362834273,156475.76636083872
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
