year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,GLTR LI Equity 2020,138.198,1.474,,,,,,,,,,,,,,,,,,113634.7058,54934.0,79266.5878,GLOBALTRA-SPONS GDR REG S,178.705,5.98,33419.835,4978.322,98327.207

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,6287.634601195739,67.0630067161791,0.0,6354.697607911919
BMO,1862.4878142666817,19.865027266885832,0.0,1882.3528415335675
TD,1987.2078558678668,21.195273300259306,0.0,2008.403129168126
Scotiabank,745.5237422999052,7.9516490553413215,0.0,753.4753913552465
CIBC,956.4682635676669,10.201552992798309,0.0,966.6698165604652
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.7148179525901076,0.007624145516706599,0.0,0.7224420981068143
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,7.40098099693904,0.07893779931321832,0.0,7.479918796252258
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,177.36551208023616,1.8917550529404772,0.0,179.25726713317664
OMERS,0.0,0.0,0.0,0.0
CPPIB,248.4742072371633,2.650190172560954,0.0,251.12439740972425
Healthcare of Ontario Pension Plan Trust Fund,94.52682866714744,1.0082095649385325,0.0,95.53503823208598
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,12.903335773461919,0.1376251243149891,0.0,13.040960897776907
